base,extra,test,majority,num_classes,majority_all
0.835,0.88,0.835,0.29,4,0.25
0.6,0.845,0.81,0.32,4,0.25
0.625,0.815,0.84,0.315,4,0.25
0.64,0.795,0.86,0.275,4,0.25
0.585,0.835,0.82,0.29,4,0.25
0.62,0.835,0.84,0.32,4,0.25
0.705,0.865,0.835,0.27,4,0.25
0.68,0.825,0.81,0.275,4,0.25
0.585,0.815,0.795,0.28,4,0.25
0.61,0.72,0.83,0.29,4,0.25
0.64,0.86,0.85,0.29,4,0.25
0.635,0.85,0.88,0.255,4,0.25
0.735,0.87,0.805,0.295,4,0.25
0.63,0.81,0.84,0.29,4,0.25
0.545,0.79,0.8,0.335,4,0.25
0.585,0.8,0.805,0.28,4,0.25
0.565,0.85,0.83,0.29,4,0.25
0.675,0.82,0.855,0.31,4,0.25
0.695,0.845,0.86,0.3,4,0.25
0.495,0.88,0.875,0.3,4,0.25
0.535,0.865,0.875,0.325,4,0.25
0.65,0.845,0.85,0.275,4,0.25
0.705,0.805,0.815,0.26,4,0.25
0.56,0.825,0.815,0.29,4,0.25
0.71,0.8,0.875,0.29,4,0.25
0.515,0.845,0.8,0.275,4,0.25
0.54,0.86,0.87,0.275,4,0.25
0.7,0.805,0.805,0.285,4,0.25
0.67,0.9,0.88,0.26,4,0.25
0.575,0.87,0.89,0.3,4,0.25
0.615,0.855,0.885,0.275,4,0.25
0.675,0.855,0.825,0.31,4,0.25
0.71,0.875,0.915,0.265,4,0.25
0.635,0.855,0.845,0.295,4,0.25
0.66,0.855,0.885,0.3,4,0.25
0.595,0.83,0.865,0.29,4,0.25
0.58,0.85,0.865,0.29,4,0.25
0.61,0.87,0.885,0.26,4,0.25
0.525,0.82,0.835,0.305,4,0.25
0.695,0.885,0.875,0.285,4,0.25
0.62,0.845,0.89,0.285,4,0.25
0.48,0.89,0.875,0.28,4,0.25
0.6,0.895,0.88,0.275,4,0.25
0.62,0.905,0.895,0.275,4,0.25
0.61,0.855,0.9,0.28,4,0.25
0.65,0.82,0.82,0.275,4,0.25
0.625,0.845,0.835,0.3,4,0.25
0.6,0.86,0.845,0.27,4,0.25
0.68,0.91,0.88,0.3,4,0.25
0.745,0.85,0.865,0.35,4,0.25
