base,extra,test,majority,num_classes,majority_all
0.65,0.665,0.665,0.625,2,0.5661322645290581
0.69,0.71,0.64,0.525,2,0.5661322645290581
0.67,0.64,0.635,0.565,2,0.5661322645290581
0.675,0.675,0.695,0.555,2,0.5661322645290581
0.695,0.71,0.715,0.61,2,0.5661322645290581
0.635,0.66,0.72,0.605,2,0.5661322645290581
0.665,0.58,0.615,0.56,2,0.5661322645290581
0.62,0.65,0.68,0.6,2,0.5661322645290581
0.66,0.65,0.59,0.595,2,0.5661322645290581
0.545,0.675,0.655,0.565,2,0.5661322645290581
0.56,0.69,0.735,0.585,2,0.5661322645290581
0.63,0.665,0.67,0.59,2,0.5661322645290581
0.69,0.695,0.71,0.535,2,0.5661322645290581
0.66,0.67,0.645,0.58,2,0.5661322645290581
0.565,0.615,0.68,0.57,2,0.5661322645290581
0.59,0.66,0.68,0.57,2,0.5661322645290581
0.63,0.635,0.605,0.57,2,0.5661322645290581
0.57,0.635,0.655,0.585,2,0.5661322645290581
0.74,0.58,0.745,0.59,2,0.5661322645290581
0.575,0.66,0.69,0.555,2,0.5661322645290581
0.68,0.725,0.585,0.56,2,0.5661322645290581
0.68,0.585,0.67,0.6,2,0.5661322645290581
0.545,0.6,0.6,0.525,2,0.5661322645290581
0.6,0.61,0.64,0.615,2,0.5661322645290581
0.705,0.74,0.72,0.56,2,0.5661322645290581
0.625,0.695,0.75,0.56,2,0.5661322645290581
0.715,0.575,0.615,0.59,2,0.5661322645290581
0.64,0.585,0.54,0.59,2,0.5661322645290581
0.72,0.73,0.66,0.605,2,0.5661322645290581
0.63,0.46,0.58,0.63,2,0.5661322645290581
0.635,0.675,0.725,0.595,2,0.5661322645290581
0.615,0.61,0.65,0.54,2,0.5661322645290581
0.625,0.675,0.705,0.555,2,0.5661322645290581
0.69,0.69,0.71,0.625,2,0.5661322645290581
0.665,0.675,0.65,0.59,2,0.5661322645290581
0.645,0.76,0.645,0.54,2,0.5661322645290581
0.63,0.645,0.62,0.62,2,0.5661322645290581
0.715,0.71,0.68,0.575,2,0.5661322645290581
0.59,0.635,0.645,0.535,2,0.5661322645290581
0.695,0.655,0.69,0.65,2,0.5661322645290581
0.66,0.675,0.635,0.565,2,0.5661322645290581
0.6,0.57,0.635,0.565,2,0.5661322645290581
0.64,0.665,0.615,0.605,2,0.5661322645290581
0.655,0.725,0.71,0.535,2,0.5661322645290581
0.645,0.725,0.635,0.55,2,0.5661322645290581
0.71,0.675,0.765,0.6,2,0.5661322645290581
0.58,0.685,0.635,0.565,2,0.5661322645290581
0.705,0.625,0.655,0.58,2,0.5661322645290581
0.65,0.64,0.615,0.61,2,0.5661322645290581
0.625,0.595,0.63,0.54,2,0.5661322645290581
