base,extra,test,majority,num_classes,majority_all
0.715,0.71,0.65,0.575,3,0.6143992932862191
0.695,0.725,0.7,0.66,3,0.6143992932862191
0.785,0.675,0.675,0.61,3,0.6143992932862191
0.82,0.65,0.66,0.6,3,0.6143992932862191
0.75,0.695,0.69,0.58,3,0.6143992932862191
0.685,0.695,0.645,0.66,3,0.6143992932862191
0.735,0.805,0.795,0.62,3,0.6143992932862191
0.715,0.77,0.74,0.62,3,0.6143992932862191
0.74,0.705,0.73,0.59,3,0.6143992932862191
0.725,0.715,0.75,0.635,3,0.6143992932862191
0.635,0.78,0.77,0.61,3,0.6143992932862191
0.78,0.7,0.735,0.6,3,0.6143992932862191
0.745,0.755,0.775,0.695,3,0.6143992932862191
0.71,0.75,0.775,0.64,3,0.6143992932862191
0.79,0.76,0.79,0.6,3,0.6143992932862191
0.7,0.69,0.715,0.615,3,0.6143992932862191
0.64,0.615,0.645,0.665,3,0.6143992932862191
0.705,0.735,0.695,0.625,3,0.6143992932862191
0.77,0.705,0.715,0.63,3,0.6143992932862191
0.805,0.755,0.755,0.575,3,0.6143992932862191
0.645,0.685,0.68,0.615,3,0.6143992932862191
0.655,0.755,0.655,0.64,3,0.6143992932862191
0.83,0.805,0.765,0.645,3,0.6143992932862191
0.78,0.725,0.805,0.6,3,0.6143992932862191
0.73,0.705,0.705,0.63,3,0.6143992932862191
0.765,0.735,0.69,0.63,3,0.6143992932862191
0.745,0.735,0.665,0.63,3,0.6143992932862191
0.725,0.8,0.77,0.675,3,0.6143992932862191
0.695,0.635,0.74,0.615,3,0.6143992932862191
0.69,0.675,0.75,0.585,3,0.6143992932862191
0.66,0.645,0.725,0.63,3,0.6143992932862191
0.675,0.69,0.665,0.63,3,0.6143992932862191
0.67,0.685,0.66,0.575,3,0.6143992932862191
0.73,0.62,0.645,0.57,3,0.6143992932862191
0.71,0.74,0.645,0.59,3,0.6143992932862191
0.66,0.715,0.69,0.605,3,0.6143992932862191
0.79,0.775,0.805,0.615,3,0.6143992932862191
0.755,0.765,0.705,0.605,3,0.6143992932862191
0.795,0.69,0.805,0.68,3,0.6143992932862191
0.75,0.68,0.755,0.695,3,0.6143992932862191
0.7,0.76,0.71,0.6,3,0.6143992932862191
0.62,0.675,0.7,0.635,3,0.6143992932862191
0.76,0.72,0.83,0.65,3,0.6143992932862191
0.64,0.695,0.67,0.57,3,0.6143992932862191
0.66,0.68,0.645,0.615,3,0.6143992932862191
0.695,0.71,0.715,0.635,3,0.6143992932862191
0.72,0.69,0.715,0.705,3,0.6143992932862191
0.72,0.76,0.825,0.66,3,0.6143992932862191
0.59,0.805,0.72,0.67,3,0.6143992932862191
0.675,0.635,0.675,0.63,3,0.6143992932862191
