base,extra,test,majority,num_classes,majority_all
0.35,0.375,0.33,0.215,5,0.2
0.32,0.34,0.36,0.225,5,0.2
0.285,0.345,0.31,0.23,5,0.2
0.335,0.315,0.375,0.23,5,0.2
0.375,0.395,0.365,0.23,5,0.2
0.27,0.44,0.37,0.255,5,0.2
0.29,0.315,0.315,0.245,5,0.2
0.385,0.345,0.375,0.215,5,0.2
0.295,0.385,0.29,0.22,5,0.2
0.18,0.235,0.34,0.25,5,0.2
0.25,0.39,0.315,0.26,5,0.2
0.29,0.39,0.35,0.23,5,0.2
0.225,0.25,0.35,0.235,5,0.2
0.34,0.41,0.43,0.24,5,0.2
0.305,0.305,0.24,0.225,5,0.2
0.315,0.285,0.325,0.23,5,0.2
0.275,0.305,0.31,0.25,5,0.2
0.285,0.33,0.29,0.235,5,0.2
0.36,0.31,0.31,0.26,5,0.2
0.395,0.345,0.51,0.22,5,0.2
0.33,0.39,0.3,0.225,5,0.2
0.335,0.42,0.325,0.22,5,0.2
0.32,0.31,0.38,0.26,5,0.2
0.25,0.375,0.325,0.29,5,0.2
0.355,0.38,0.35,0.23,5,0.2
0.305,0.28,0.335,0.235,5,0.2
0.23,0.25,0.285,0.235,5,0.2
0.31,0.34,0.29,0.235,5,0.2
0.31,0.315,0.32,0.23,5,0.2
0.28,0.305,0.305,0.245,5,0.2
0.33,0.375,0.37,0.255,5,0.2
0.33,0.26,0.28,0.24,5,0.2
0.33,0.32,0.345,0.22,5,0.2
0.37,0.445,0.43,0.265,5,0.2
0.355,0.39,0.305,0.25,5,0.2
0.27,0.295,0.37,0.24,5,0.2
0.235,0.245,0.23,0.235,5,0.2
0.385,0.36,0.36,0.235,5,0.2
0.32,0.295,0.255,0.22,5,0.2
0.315,0.305,0.255,0.255,5,0.2
0.4,0.36,0.315,0.26,5,0.2
0.43,0.375,0.375,0.25,5,0.2
0.24,0.365,0.395,0.255,5,0.2
0.305,0.3,0.34,0.22,5,0.2
0.245,0.44,0.33,0.23,5,0.2
0.275,0.305,0.4,0.23,5,0.2
0.325,0.32,0.3,0.23,5,0.2
0.295,0.37,0.35,0.235,5,0.2
0.385,0.385,0.315,0.225,5,0.2
0.35,0.28,0.305,0.225,5,0.2
