base,extra,test,majority,num_classes,majority_all
0.245,0.21,0.22,0.29,6,0.335125
0.19,0.31,0.295,0.295,6,0.335125
0.195,0.275,0.165,0.335,6,0.335125
0.21,0.16,0.285,0.31,6,0.335125
0.24,0.165,0.21,0.345,6,0.335125
0.26,0.2,0.18,0.315,6,0.335125
0.215,0.35,0.265,0.34,6,0.335125
0.24,0.16,0.19,0.3,6,0.335125
0.2,0.235,0.145,0.315,6,0.335125
0.15,0.095,0.21,0.325,6,0.335125
0.295,0.185,0.245,0.31,6,0.335125
0.235,0.115,0.225,0.365,6,0.335125
0.22,0.31,0.175,0.33,6,0.335125
0.215,0.17,0.24,0.32,6,0.335125
0.285,0.29,0.31,0.31,6,0.335125
0.175,0.13,0.16,0.34,6,0.335125
0.295,0.255,0.165,0.355,6,0.335125
0.37,0.285,0.31,0.405,6,0.335125
0.29,0.22,0.25,0.34,6,0.335125
0.215,0.175,0.315,0.39,6,0.335125
0.265,0.12,0.23,0.34,6,0.335125
0.18,0.43,0.355,0.375,6,0.335125
0.28,0.39,0.225,0.38,6,0.335125
0.19,0.195,0.08,0.36,6,0.335125
0.265,0.225,0.25,0.36,6,0.335125
0.285,0.19,0.175,0.355,6,0.335125
0.235,0.32,0.235,0.34,6,0.335125
0.2,0.36,0.22,0.37,6,0.335125
0.21,0.2,0.15,0.37,6,0.335125
0.155,0.18,0.175,0.295,6,0.335125
0.34,0.135,0.125,0.33,6,0.335125
0.16,0.195,0.21,0.36,6,0.335125
0.29,0.315,0.245,0.33,6,0.335125
0.335,0.275,0.285,0.365,6,0.335125
0.315,0.345,0.375,0.38,6,0.335125
0.295,0.35,0.155,0.365,6,0.335125
0.155,0.205,0.235,0.32,6,0.335125
0.345,0.23,0.33,0.32,6,0.335125
0.235,0.2,0.185,0.34,6,0.335125
0.295,0.19,0.365,0.335,6,0.335125
0.13,0.195,0.12,0.34,6,0.335125
0.295,0.2,0.205,0.315,6,0.335125
0.17,0.26,0.225,0.345,6,0.335125
0.24,0.435,0.405,0.4,6,0.335125
0.27,0.42,0.435,0.37,6,0.335125
0.08,0.35,0.225,0.34,6,0.335125
0.175,0.225,0.215,0.355,6,0.335125
0.23,0.205,0.325,0.345,6,0.335125
0.215,0.125,0.225,0.36,6,0.335125
0.17,0.27,0.15,0.315,6,0.335125
