base,extra,test,majority,num_classes,majority_all
0.575,0.55,0.585,0.29,4,0.25
0.535,0.555,0.575,0.32,4,0.25
0.49,0.47,0.51,0.315,4,0.25
0.46,0.71,0.655,0.275,4,0.25
0.475,0.61,0.585,0.29,4,0.25
0.485,0.625,0.615,0.32,4,0.25
0.465,0.655,0.655,0.27,4,0.25
0.355,0.635,0.64,0.275,4,0.25
0.46,0.57,0.545,0.28,4,0.25
0.46,0.625,0.62,0.29,4,0.25
0.49,0.615,0.615,0.29,4,0.25
0.475,0.575,0.625,0.255,4,0.25
0.365,0.655,0.655,0.295,4,0.25
0.385,0.585,0.615,0.29,4,0.25
0.435,0.64,0.625,0.335,4,0.25
0.43,0.545,0.535,0.28,4,0.25
0.44,0.635,0.635,0.29,4,0.25
0.455,0.56,0.59,0.31,4,0.25
0.565,0.585,0.555,0.3,4,0.25
0.385,0.56,0.615,0.3,4,0.25
0.4,0.565,0.59,0.325,4,0.25
0.435,0.66,0.64,0.275,4,0.25
0.45,0.515,0.505,0.26,4,0.25
0.39,0.575,0.54,0.29,4,0.25
0.33,0.56,0.62,0.29,4,0.25
0.36,0.515,0.55,0.275,4,0.25
0.495,0.635,0.63,0.275,4,0.25
0.415,0.54,0.54,0.285,4,0.25
0.42,0.505,0.495,0.26,4,0.25
0.445,0.655,0.645,0.3,4,0.25
0.425,0.625,0.655,0.275,4,0.25
0.36,0.645,0.64,0.31,4,0.25
0.505,0.525,0.535,0.265,4,0.25
0.36,0.55,0.595,0.295,4,0.25
0.445,0.59,0.595,0.3,4,0.25
0.54,0.57,0.535,0.29,4,0.25
0.425,0.565,0.565,0.29,4,0.25
0.43,0.585,0.585,0.26,4,0.25
0.345,0.565,0.57,0.305,4,0.25
0.475,0.615,0.62,0.285,4,0.25
0.34,0.635,0.64,0.285,4,0.25
0.255,0.62,0.65,0.28,4,0.25
0.465,0.57,0.62,0.275,4,0.25
0.465,0.625,0.65,0.275,4,0.25
0.435,0.53,0.55,0.28,4,0.25
0.43,0.62,0.605,0.275,4,0.25
0.51,0.67,0.685,0.3,4,0.25
0.37,0.565,0.59,0.27,4,0.25
0.42,0.705,0.685,0.3,4,0.25
0.535,0.675,0.66,0.35,4,0.25
