base,extra,test,majority,num_classes,majority_all
0.235,0.215,0.245,0.41,4,0.4260586319218241
0.295,0.235,0.255,0.455,4,0.4260586319218241
0.265,0.255,0.27,0.465,4,0.4260586319218241
0.265,0.27,0.22,0.405,4,0.4260586319218241
0.225,0.31,0.32,0.395,4,0.4260586319218241
0.245,0.25,0.24,0.43,4,0.4260586319218241
0.245,0.255,0.215,0.495,4,0.4260586319218241
0.23,0.275,0.255,0.435,4,0.4260586319218241
0.295,0.26,0.295,0.41,4,0.4260586319218241
0.21,0.295,0.3,0.45,4,0.4260586319218241
0.185,0.24,0.275,0.445,4,0.4260586319218241
0.21,0.295,0.3,0.435,4,0.4260586319218241
0.24,0.21,0.205,0.46,4,0.4260586319218241
0.305,0.235,0.195,0.47,4,0.4260586319218241
0.24,0.3,0.27,0.365,4,0.4260586319218241
0.2,0.315,0.325,0.4,4,0.4260586319218241
0.175,0.285,0.26,0.45,4,0.4260586319218241
0.215,0.275,0.2,0.43,4,0.4260586319218241
0.21,0.285,0.27,0.415,4,0.4260586319218241
0.155,0.25,0.255,0.465,4,0.4260586319218241
0.255,0.32,0.31,0.455,4,0.4260586319218241
0.23,0.255,0.245,0.455,4,0.4260586319218241
0.18,0.2,0.18,0.49,4,0.4260586319218241
0.215,0.285,0.275,0.47,4,0.4260586319218241
0.205,0.165,0.18,0.45,4,0.4260586319218241
0.235,0.17,0.205,0.46,4,0.4260586319218241
0.215,0.35,0.32,0.435,4,0.4260586319218241
0.25,0.255,0.28,0.47,4,0.4260586319218241
0.185,0.245,0.265,0.43,4,0.4260586319218241
0.19,0.315,0.305,0.44,4,0.4260586319218241
0.205,0.255,0.23,0.44,4,0.4260586319218241
0.22,0.285,0.265,0.52,4,0.4260586319218241
0.26,0.225,0.235,0.435,4,0.4260586319218241
0.175,0.29,0.275,0.43,4,0.4260586319218241
0.2,0.27,0.275,0.395,4,0.4260586319218241
0.26,0.285,0.275,0.475,4,0.4260586319218241
0.22,0.24,0.25,0.5,4,0.4260586319218241
0.215,0.31,0.21,0.47,4,0.4260586319218241
0.22,0.26,0.29,0.415,4,0.4260586319218241
0.225,0.275,0.29,0.47,4,0.4260586319218241
0.175,0.25,0.245,0.505,4,0.4260586319218241
0.205,0.27,0.28,0.385,4,0.4260586319218241
0.19,0.25,0.24,0.48,4,0.4260586319218241
0.34,0.32,0.295,0.425,4,0.4260586319218241
0.2,0.26,0.26,0.41,4,0.4260586319218241
0.205,0.21,0.215,0.42,4,0.4260586319218241
0.235,0.295,0.235,0.415,4,0.4260586319218241
0.255,0.32,0.3,0.385,4,0.4260586319218241
0.185,0.33,0.335,0.42,4,0.4260586319218241
0.255,0.335,0.34,0.4,4,0.4260586319218241
