base,extra,test,majority,num_classes,majority_all
0.515,0.625,0.59,0.625,2,0.5661322645290581
0.54,0.58,0.575,0.525,2,0.5661322645290581
0.465,0.535,0.53,0.565,2,0.5661322645290581
0.5,0.555,0.6,0.555,2,0.5661322645290581
0.56,0.595,0.58,0.61,2,0.5661322645290581
0.485,0.595,0.625,0.605,2,0.5661322645290581
0.5,0.595,0.615,0.56,2,0.5661322645290581
0.53,0.56,0.59,0.6,2,0.5661322645290581
0.455,0.59,0.595,0.595,2,0.5661322645290581
0.515,0.575,0.58,0.565,2,0.5661322645290581
0.535,0.595,0.585,0.585,2,0.5661322645290581
0.505,0.545,0.54,0.59,2,0.5661322645290581
0.57,0.545,0.525,0.535,2,0.5661322645290581
0.5,0.535,0.53,0.58,2,0.5661322645290581
0.52,0.56,0.565,0.57,2,0.5661322645290581
0.55,0.615,0.615,0.57,2,0.5661322645290581
0.535,0.62,0.62,0.57,2,0.5661322645290581
0.505,0.53,0.51,0.585,2,0.5661322645290581
0.45,0.495,0.52,0.59,2,0.5661322645290581
0.505,0.575,0.58,0.555,2,0.5661322645290581
0.465,0.575,0.575,0.56,2,0.5661322645290581
0.485,0.62,0.625,0.6,2,0.5661322645290581
0.49,0.535,0.53,0.525,2,0.5661322645290581
0.45,0.585,0.575,0.615,2,0.5661322645290581
0.505,0.57,0.55,0.56,2,0.5661322645290581
0.49,0.67,0.63,0.56,2,0.5661322645290581
0.535,0.595,0.59,0.59,2,0.5661322645290581
0.52,0.55,0.545,0.59,2,0.5661322645290581
0.49,0.54,0.57,0.605,2,0.5661322645290581
0.515,0.585,0.59,0.63,2,0.5661322645290581
0.61,0.66,0.645,0.595,2,0.5661322645290581
0.485,0.545,0.53,0.54,2,0.5661322645290581
0.58,0.665,0.665,0.555,2,0.5661322645290581
0.47,0.58,0.635,0.625,2,0.5661322645290581
0.525,0.6,0.535,0.59,2,0.5661322645290581
0.54,0.545,0.605,0.54,2,0.5661322645290581
0.55,0.555,0.495,0.62,2,0.5661322645290581
0.57,0.63,0.655,0.575,2,0.5661322645290581
0.495,0.61,0.595,0.535,2,0.5661322645290581
0.555,0.645,0.655,0.65,2,0.5661322645290581
0.61,0.56,0.615,0.565,2,0.5661322645290581
0.535,0.55,0.525,0.565,2,0.5661322645290581
0.555,0.63,0.625,0.605,2,0.5661322645290581
0.535,0.57,0.545,0.535,2,0.5661322645290581
0.545,0.555,0.595,0.55,2,0.5661322645290581
0.635,0.64,0.645,0.6,2,0.5661322645290581
0.495,0.585,0.585,0.565,2,0.5661322645290581
0.5,0.615,0.625,0.58,2,0.5661322645290581
0.54,0.56,0.565,0.61,2,0.5661322645290581
0.535,0.615,0.595,0.54,2,0.5661322645290581
