base,extra,test,majority,num_classes,majority_all
0.715,0.705,0.665,0.505,2,0.5
0.585,0.69,0.675,0.52,2,0.5
0.58,0.715,0.66,0.545,2,0.5
0.475,0.605,0.65,0.52,2,0.5
0.57,0.675,0.6,0.57,2,0.5
0.485,0.66,0.54,0.55,2,0.5
0.535,0.68,0.595,0.51,2,0.5
0.595,0.65,0.62,0.5,2,0.5
0.55,0.57,0.565,0.51,2,0.5
0.53,0.555,0.585,0.545,2,0.5
0.525,0.69,0.69,0.505,2,0.5
0.58,0.675,0.7,0.51,2,0.5
0.59,0.63,0.625,0.505,2,0.5
0.43,0.73,0.735,0.57,2,0.5
0.55,0.61,0.645,0.54,2,0.5
0.55,0.62,0.575,0.51,2,0.5
0.485,0.64,0.625,0.51,2,0.5
0.52,0.68,0.68,0.515,2,0.5
0.575,0.6,0.585,0.55,2,0.5
0.475,0.565,0.62,0.515,2,0.5
0.55,0.655,0.655,0.545,2,0.5
0.5,0.65,0.655,0.515,2,0.5
0.52,0.63,0.67,0.515,2,0.5
0.545,0.55,0.57,0.52,2,0.5
0.535,0.75,0.75,0.555,2,0.5
0.545,0.585,0.61,0.515,2,0.5
0.54,0.605,0.585,0.545,2,0.5
0.475,0.625,0.615,0.6,2,0.5
0.605,0.67,0.64,0.505,2,0.5
0.54,0.605,0.54,0.545,2,0.5
0.5,0.58,0.59,0.51,2,0.5
0.53,0.63,0.635,0.505,2,0.5
0.485,0.615,0.635,0.52,2,0.5
0.58,0.665,0.595,0.615,2,0.5
0.545,0.56,0.56,0.56,2,0.5
0.51,0.71,0.73,0.53,2,0.5
0.565,0.69,0.72,0.51,2,0.5
0.495,0.585,0.565,0.51,2,0.5
0.605,0.66,0.665,0.545,2,0.5
0.45,0.665,0.59,0.555,2,0.5
0.565,0.68,0.735,0.53,2,0.5
0.49,0.6,0.645,0.565,2,0.5
0.545,0.63,0.645,0.525,2,0.5
0.545,0.66,0.735,0.525,2,0.5
0.535,0.565,0.565,0.5,2,0.5
0.515,0.66,0.705,0.51,2,0.5
0.515,0.67,0.615,0.51,2,0.5
0.515,0.74,0.73,0.525,2,0.5
0.56,0.64,0.6,0.53,2,0.5
0.57,0.595,0.605,0.525,2,0.5
