base,extra,test,majority,num_classes,majority_all
0.195,0.31,0.325,0.215,5,0.2
0.275,0.31,0.325,0.225,5,0.2
0.275,0.345,0.34,0.23,5,0.2
0.22,0.25,0.195,0.23,5,0.2
0.25,0.245,0.295,0.23,5,0.2
0.26,0.23,0.295,0.255,5,0.2
0.225,0.235,0.265,0.245,5,0.2
0.225,0.23,0.2,0.215,5,0.2
0.315,0.245,0.24,0.22,5,0.2
0.3,0.235,0.225,0.25,5,0.2
0.31,0.25,0.25,0.26,5,0.2
0.255,0.23,0.25,0.23,5,0.2
0.22,0.275,0.27,0.235,5,0.2
0.22,0.285,0.255,0.24,5,0.2
0.28,0.28,0.25,0.225,5,0.2
0.25,0.335,0.27,0.23,5,0.2
0.3,0.26,0.315,0.25,5,0.2
0.25,0.29,0.235,0.235,5,0.2
0.255,0.275,0.295,0.26,5,0.2
0.245,0.29,0.305,0.22,5,0.2
0.245,0.31,0.265,0.225,5,0.2
0.28,0.275,0.3,0.22,5,0.2
0.275,0.31,0.31,0.26,5,0.2
0.31,0.34,0.35,0.29,5,0.2
0.25,0.305,0.29,0.23,5,0.2
0.25,0.295,0.27,0.235,5,0.2
0.245,0.245,0.23,0.235,5,0.2
0.295,0.295,0.305,0.235,5,0.2
0.255,0.3,0.295,0.23,5,0.2
0.195,0.18,0.185,0.245,5,0.2
0.195,0.28,0.28,0.255,5,0.2
0.24,0.37,0.33,0.24,5,0.2
0.305,0.285,0.32,0.22,5,0.2
0.235,0.2,0.185,0.265,5,0.2
0.26,0.32,0.315,0.25,5,0.2
0.235,0.205,0.21,0.24,5,0.2
0.22,0.26,0.25,0.235,5,0.2
0.265,0.27,0.275,0.235,5,0.2
0.305,0.275,0.355,0.22,5,0.2
0.19,0.23,0.23,0.255,5,0.2
0.235,0.255,0.255,0.26,5,0.2
0.24,0.3,0.295,0.25,5,0.2
0.23,0.275,0.245,0.255,5,0.2
0.215,0.22,0.225,0.22,5,0.2
0.265,0.305,0.285,0.23,5,0.2
0.245,0.26,0.315,0.23,5,0.2
0.305,0.34,0.34,0.23,5,0.2
0.295,0.34,0.34,0.235,5,0.2
0.22,0.195,0.26,0.225,5,0.2
0.31,0.34,0.33,0.225,5,0.2
