base,extra,test,majority,num_classes,majority_all
0.268,0.296,0.212,0.584,5,0.6053286584624998
0.332,0.19,0.254,0.61,5,0.6053286584624998
0.298,0.292,0.464,0.536,5,0.6053286584624998
0.218,0.288,0.146,0.594,5,0.6053286584624998
0.278,0.188,0.296,0.638,5,0.6053286584624998
0.432,0.288,0.298,0.58,5,0.6053286584624998
0.24,0.168,0.358,0.582,5,0.6053286584624998
0.322,0.316,0.39,0.606,5,0.6053286584624998
0.272,0.346,0.438,0.612,5,0.6053286584624998
0.4,0.276,0.392,0.616,5,0.6053286584624998
0.206,0.522,0.058,0.588,5,0.6053286584624998
0.436,0.402,0.348,0.624,5,0.6053286584624998
0.334,0.162,0.108,0.6,5,0.6053286584624998
0.404,0.312,0.264,0.626,5,0.6053286584624998
0.432,0.288,0.286,0.624,5,0.6053286584624998
0.296,0.064,0.43,0.606,5,0.6053286584624998
0.454,0.436,0.342,0.604,5,0.6053286584624998
0.242,0.512,0.242,0.59,5,0.6053286584624998
0.338,0.146,0.204,0.59,5,0.6053286584624998
0.35,0.338,0.442,0.608,5,0.6053286584624998
