base,extra,test,majority,num_classes,majority_all
0.196,0.234,0.332,0.404,4,0.4260586319218241
0.382,0.228,0.362,0.452,4,0.4260586319218241
0.22,0.188,0.116,0.434,4,0.4260586319218241
0.232,0.238,0.234,0.416,4,0.4260586319218241
0.36,0.182,0.406,0.42,4,0.4260586319218241
0.344,0.4,0.36,0.436,4,0.4260586319218241
0.254,0.236,0.302,0.446,4,0.4260586319218241
0.274,0.142,0.358,0.412,4,0.4260586319218241
0.36,0.444,0.324,0.46,4,0.4260586319218241
0.344,0.278,0.274,0.46,4,0.4260586319218241
0.184,0.376,0.196,0.436,4,0.4260586319218241
0.268,0.152,0.264,0.456,4,0.4260586319218241
0.406,0.164,0.226,0.448,4,0.4260586319218241
0.356,0.394,0.216,0.468,4,0.4260586319218241
0.374,0.25,0.36,0.408,4,0.4260586319218241
0.29,0.274,0.25,0.444,4,0.4260586319218241
0.366,0.4,0.25,0.456,4,0.4260586319218241
0.378,0.322,0.248,0.442,4,0.4260586319218241
0.258,0.356,0.292,0.436,4,0.4260586319218241
0.304,0.418,0.338,0.45,4,0.4260586319218241
