base,extra,test,majority,num_classes,majority_all
0.32,0.582,0.474,0.448,4,0.4956233421750663
0.45,0.448,0.44,0.462,4,0.4956233421750663
0.488,0.58,0.556,0.458,4,0.4956233421750663
0.514,0.548,0.638,0.522,4,0.4956233421750663
0.586,0.588,0.564,0.498,4,0.4956233421750663
0.548,0.454,0.548,0.49,4,0.4956233421750663
0.264,0.352,0.634,0.508,4,0.4956233421750663
0.426,0.488,0.382,0.512,4,0.4956233421750663
0.366,0.416,0.316,0.484,4,0.4956233421750663
0.5,0.606,0.578,0.48,4,0.4956233421750663
0.438,0.524,0.628,0.492,4,0.4956233421750663
0.382,0.322,0.272,0.494,4,0.4956233421750663
0.424,0.402,0.336,0.502,4,0.4956233421750663
0.45,0.524,0.362,0.496,4,0.4956233421750663
0.428,0.598,0.524,0.502,4,0.4956233421750663
0.268,0.632,0.31,0.526,4,0.4956233421750663
0.488,0.46,0.484,0.5,4,0.4956233421750663
0.378,0.606,0.298,0.432,4,0.4956233421750663
0.502,0.348,0.374,0.488,4,0.4956233421750663
0.422,0.344,0.41,0.51,4,0.4956233421750663
