base,extra,test,majority,num_classes,majority_all
0.104,0.268,0.306,0.138,18,0.1466041340976203
0.102,0.38,0.186,0.176,18,0.1466041340976203
0.09,0.256,0.114,0.13,18,0.1466041340976203
0.15,0.276,0.224,0.116,18,0.1466041340976203
0.06,0.154,0.282,0.166,18,0.1466041340976203
0.18,0.238,0.104,0.154,18,0.1466041340976203
0.102,0.168,0.282,0.146,18,0.1466041340976203
0.114,0.174,0.324,0.136,18,0.1466041340976203
0.156,0.272,0.16,0.132,18,0.1466041340976203
0.17,0.264,0.304,0.162,18,0.1466041340976203
0.128,0.234,0.254,0.178,18,0.1466041340976203
0.11,0.166,0.348,0.142,18,0.1466041340976203
0.13,0.262,0.158,0.15,18,0.1466041340976203
0.188,0.278,0.23,0.134,18,0.1466041340976203
0.142,0.194,0.33,0.16,18,0.1466041340976203
0.14,0.136,0.4,0.148,18,0.1466041340976203
0.168,0.42,0.076,0.154,18,0.1466041340976203
0.198,0.26,0.346,0.146,18,0.1466041340976203
0.09,0.318,0.382,0.168,18,0.1466041340976203
0.114,0.322,0.288,0.152,18,0.1466041340976203
