base,extra,test,majority,num_classes,majority_all
0.61,0.532,0.524,0.516,2,0.5
0.606,0.5,0.486,0.524,2,0.5
0.498,0.5,0.504,0.502,2,0.5
0.462,0.552,0.566,0.546,2,0.5
0.46,0.54,0.572,0.54,2,0.5
0.508,0.53,0.494,0.506,2,0.5
0.48,0.526,0.528,0.522,2,0.5
0.49,0.536,0.528,0.512,2,0.5
0.492,0.58,0.556,0.508,2,0.5
0.454,0.546,0.546,0.546,2,0.5
0.572,0.502,0.502,0.512,2,0.5
0.51,0.536,0.52,0.51,2,0.5
0.626,0.496,0.5,0.504,2,0.5
0.57,0.514,0.524,0.512,2,0.5
0.532,0.566,0.546,0.516,2,0.5
0.53,0.51,0.49,0.514,2,0.5
0.516,0.482,0.484,0.516,2,0.5
0.512,0.48,0.496,0.512,2,0.5
0.502,0.584,0.542,0.502,2,0.5
0.566,0.512,0.516,0.512,2,0.5
