base,extra,test,majority,num_classes,majority_all
0.618,0.66,0.622,0.462,4,0.4574165423884364
0.624,0.608,0.626,0.482,4,0.4574165423884364
0.666,0.682,0.716,0.482,4,0.4574165423884364
0.606,0.732,0.688,0.488,4,0.4574165423884364
0.406,0.626,0.676,0.406,4,0.4574165423884364
0.502,0.666,0.716,0.432,4,0.4574165423884364
0.564,0.72,0.656,0.488,4,0.4574165423884364
0.624,0.55,0.666,0.438,4,0.4574165423884364
0.642,0.628,0.626,0.492,4,0.4574165423884364
0.662,0.632,0.63,0.444,4,0.4574165423884364
0.62,0.696,0.7,0.45,4,0.4574165423884364
0.56,0.63,0.712,0.452,4,0.4574165423884364
0.65,0.656,0.688,0.468,4,0.4574165423884364
0.636,0.74,0.726,0.442,4,0.4574165423884364
0.544,0.638,0.636,0.44,4,0.4574165423884364
0.534,0.652,0.678,0.446,4,0.4574165423884364
0.594,0.626,0.57,0.46,4,0.4574165423884364
0.604,0.722,0.688,0.424,4,0.4574165423884364
0.646,0.68,0.722,0.474,4,0.4574165423884364
0.634,0.664,0.672,0.43,4,0.4574165423884364
