base,extra,test,majority,num_classes,majority_all
0.818,0.818,0.83,0.926,2,0.9298542018647143
0.828,0.788,0.784,0.936,2,0.9298542018647143
0.844,0.76,0.804,0.938,2,0.9298542018647143
0.782,0.662,0.722,0.936,2,0.9298542018647143
0.824,0.86,0.822,0.932,2,0.9298542018647143
0.79,0.808,0.76,0.938,2,0.9298542018647143
0.762,0.788,0.82,0.926,2,0.9298542018647143
0.832,0.902,0.816,0.93,2,0.9298542018647143
0.836,0.602,0.778,0.91,2,0.9298542018647143
0.82,0.784,0.838,0.928,2,0.9298542018647143
0.834,0.822,0.892,0.946,2,0.9298542018647143
0.878,0.874,0.702,0.946,2,0.9298542018647143
0.882,0.856,0.768,0.936,2,0.9298542018647143
0.836,0.776,0.76,0.916,2,0.9298542018647143
0.766,0.618,0.692,0.926,2,0.9298542018647143
0.794,0.674,0.782,0.936,2,0.9298542018647143
0.8,0.792,0.704,0.936,2,0.9298542018647143
0.83,0.782,0.818,0.926,2,0.9298542018647143
0.8,0.692,0.782,0.926,2,0.9298542018647143
0.764,0.822,0.772,0.936,2,0.9298542018647143
