base,extra,test,majority,num_classes,majority_all
0.252,0.246,0.27,0.218,5,0.2
0.226,0.276,0.282,0.222,5,0.2
0.266,0.276,0.31,0.22,5,0.2
0.222,0.23,0.19,0.224,5,0.2
0.202,0.278,0.286,0.236,5,0.2
0.292,0.316,0.294,0.252,5,0.2
0.254,0.28,0.292,0.246,5,0.2
0.202,0.186,0.276,0.224,5,0.2
0.278,0.296,0.314,0.234,5,0.2
0.194,0.334,0.194,0.212,5,0.2
0.274,0.25,0.22,0.228,5,0.2
0.21,0.394,0.31,0.222,5,0.2
0.272,0.318,0.266,0.21,5,0.2
0.212,0.31,0.23,0.226,5,0.2
0.196,0.322,0.23,0.206,5,0.2
0.208,0.264,0.364,0.222,5,0.2
0.238,0.266,0.362,0.22,5,0.2
0.28,0.258,0.332,0.216,5,0.2
0.3,0.296,0.326,0.22,5,0.2
0.288,0.29,0.302,0.214,5,0.2
