base,extra,test,majority,num_classes,majority_all
0.812,0.758,0.766,0.648,2,0.6288525638098716
0.598,0.754,0.798,0.642,2,0.6288525638098716
0.59,0.808,0.806,0.624,2,0.6288525638098716
0.718,0.81,0.828,0.624,2,0.6288525638098716
0.692,0.81,0.798,0.656,2,0.6288525638098716
0.72,0.788,0.79,0.604,2,0.6288525638098716
0.68,0.772,0.784,0.664,2,0.6288525638098716
0.562,0.82,0.828,0.646,2,0.6288525638098716
0.658,0.804,0.816,0.632,2,0.6288525638098716
0.72,0.79,0.818,0.63,2,0.6288525638098716
0.604,0.828,0.824,0.634,2,0.6288525638098716
0.592,0.78,0.77,0.62,2,0.6288525638098716
0.642,0.812,0.806,0.644,2,0.6288525638098716
0.676,0.776,0.732,0.598,2,0.6288525638098716
0.648,0.832,0.8,0.638,2,0.6288525638098716
0.64,0.794,0.792,0.648,2,0.6288525638098716
0.664,0.764,0.736,0.638,2,0.6288525638098716
0.598,0.816,0.816,0.612,2,0.6288525638098716
0.56,0.812,0.806,0.618,2,0.6288525638098716
0.698,0.796,0.796,0.624,2,0.6288525638098716
