base,extra,test,majority,num_classes,majority_all
0.236,0.206,0.2,0.24,6,0.2479512102153611
0.176,0.184,0.198,0.252,6,0.2479512102153611
0.166,0.164,0.182,0.258,6,0.2479512102153611
0.142,0.158,0.172,0.266,6,0.2479512102153611
0.182,0.17,0.17,0.246,6,0.2479512102153611
0.174,0.17,0.182,0.262,6,0.2479512102153611
0.182,0.186,0.178,0.236,6,0.2479512102153611
0.16,0.144,0.154,0.252,6,0.2479512102153611
0.16,0.184,0.206,0.226,6,0.2479512102153611
0.194,0.214,0.206,0.236,6,0.2479512102153611
0.154,0.218,0.21,0.252,6,0.2479512102153611
0.158,0.178,0.174,0.248,6,0.2479512102153611
0.206,0.162,0.142,0.24,6,0.2479512102153611
0.208,0.18,0.176,0.226,6,0.2479512102153611
0.16,0.174,0.178,0.256,6,0.2479512102153611
0.162,0.21,0.188,0.26,6,0.2479512102153611
0.162,0.17,0.182,0.26,6,0.2479512102153611
0.186,0.194,0.196,0.242,6,0.2479512102153611
0.182,0.17,0.16,0.266,6,0.2479512102153611
0.166,0.198,0.188,0.242,6,0.2479512102153611
