base,extra,test,majority,num_classes,majority_all
0.85,0.885,0.875,0.54,2,0.5096165973010468
0.915,0.955,0.96,0.56,2,0.5096165973010468
0.95,0.975,0.935,0.55,2,0.5096165973010468
0.91,0.925,0.935,0.57,2,0.5096165973010468
0.92,0.88,0.88,0.54,2,0.5096165973010468
0.945,0.95,0.93,0.52,2,0.5096165973010468
0.85,0.855,0.895,0.505,2,0.5096165973010468
0.895,0.92,0.92,0.515,2,0.5096165973010468
0.93,0.93,0.925,0.59,2,0.5096165973010468
0.915,0.915,0.935,0.515,2,0.5096165973010468
0.895,0.88,0.87,0.545,2,0.5096165973010468
0.86,0.935,0.905,0.51,2,0.5096165973010468
0.89,0.895,0.895,0.565,2,0.5096165973010468
0.905,0.92,0.91,0.565,2,0.5096165973010468
0.89,0.925,0.925,0.51,2,0.5096165973010468
0.94,0.94,0.935,0.5,2,0.5096165973010468
0.895,0.905,0.905,0.59,2,0.5096165973010468
0.94,0.915,0.93,0.525,2,0.5096165973010468
0.885,0.935,0.92,0.53,2,0.5096165973010468
0.945,0.965,0.94,0.53,2,0.5096165973010468
0.89,0.9,0.915,0.505,2,0.5096165973010468
0.93,0.915,0.925,0.5,2,0.5096165973010468
0.88,0.925,0.905,0.525,2,0.5096165973010468
0.975,0.925,0.94,0.565,2,0.5096165973010468
0.88,0.935,0.955,0.52,2,0.5096165973010468
0.9,0.955,0.935,0.505,2,0.5096165973010468
0.925,0.925,0.925,0.595,2,0.5096165973010468
0.945,0.94,0.95,0.545,2,0.5096165973010468
0.945,0.95,0.97,0.5,2,0.5096165973010468
0.915,0.93,0.9,0.535,2,0.5096165973010468
0.92,0.92,0.905,0.51,2,0.5096165973010468
0.955,0.96,0.96,0.515,2,0.5096165973010468
0.945,0.935,0.94,0.555,2,0.5096165973010468
0.96,0.94,0.945,0.515,2,0.5096165973010468
0.945,0.95,0.945,0.5,2,0.5096165973010468
0.925,0.97,0.94,0.515,2,0.5096165973010468
0.9,0.915,0.915,0.51,2,0.5096165973010468
0.915,0.935,0.94,0.515,2,0.5096165973010468
0.945,0.95,0.94,0.53,2,0.5096165973010468
0.87,0.895,0.87,0.515,2,0.5096165973010468
0.885,0.945,0.925,0.55,2,0.5096165973010468
0.935,0.94,0.945,0.555,2,0.5096165973010468
0.84,0.895,0.87,0.55,2,0.5096165973010468
0.88,0.945,0.93,0.505,2,0.5096165973010468
0.9,0.885,0.9,0.53,2,0.5096165973010468
0.93,0.95,0.955,0.52,2,0.5096165973010468
0.945,0.94,0.94,0.55,2,0.5096165973010468
0.925,0.965,0.945,0.54,2,0.5096165973010468
0.9,0.9,0.9,0.53,2,0.5096165973010468
0.875,0.915,0.905,0.5,2,0.5096165973010468
