base,extra,test,majority,num_classes,majority_all
0.125,0.245,0.265,0.16,18,0.1466041340976203
0.115,0.26,0.29,0.16,18,0.1466041340976203
0.06,0.33,0.305,0.145,18,0.1466041340976203
0.18,0.2,0.295,0.12,18,0.1466041340976203
0.055,0.24,0.345,0.165,18,0.1466041340976203
0.18,0.425,0.2,0.155,18,0.1466041340976203
0.1,0.1,0.28,0.135,18,0.1466041340976203
0.09,0.19,0.38,0.18,18,0.1466041340976203
0.115,0.22,0.14,0.13,18,0.1466041340976203
0.195,0.16,0.265,0.14,18,0.1466041340976203
0.115,0.21,0.175,0.165,18,0.1466041340976203
0.095,0.165,0.24,0.165,18,0.1466041340976203
0.125,0.185,0.19,0.17,18,0.1466041340976203
0.19,0.245,0.3,0.135,18,0.1466041340976203
0.15,0.305,0.175,0.16,18,0.1466041340976203
0.165,0.255,0.285,0.145,18,0.1466041340976203
0.185,0.405,0.305,0.145,18,0.1466041340976203
0.185,0.02,0.27,0.135,18,0.1466041340976203
0.065,0.305,0.375,0.175,18,0.1466041340976203
0.1,0.21,0.365,0.15,18,0.1466041340976203
0.14,0.295,0.06,0.175,18,0.1466041340976203
0.115,0.27,0.19,0.17,18,0.1466041340976203
0.16,0.44,0.06,0.175,18,0.1466041340976203
0.14,0.18,0.315,0.21,18,0.1466041340976203
0.155,0.295,0.265,0.185,18,0.1466041340976203
0.095,0.39,0.285,0.15,18,0.1466041340976203
0.15,0.3,0.335,0.18,18,0.1466041340976203
0.11,0.165,0.265,0.14,18,0.1466041340976203
0.09,0.18,0.14,0.15,18,0.1466041340976203
0.15,0.22,0.19,0.19,18,0.1466041340976203
0.14,0.42,0.275,0.175,18,0.1466041340976203
0.1,0.33,0.155,0.135,18,0.1466041340976203
0.165,0.275,0.185,0.175,18,0.1466041340976203
0.125,0.115,0.315,0.13,18,0.1466041340976203
0.15,0.31,0.25,0.16,18,0.1466041340976203
0.165,0.235,0.29,0.155,18,0.1466041340976203
0.14,0.375,0.18,0.17,18,0.1466041340976203
0.07,0.12,0.19,0.19,18,0.1466041340976203
0.15,0.165,0.285,0.205,18,0.1466041340976203
0.115,0.195,0.405,0.16,18,0.1466041340976203
0.125,0.335,0.26,0.155,18,0.1466041340976203
0.105,0.23,0.25,0.185,18,0.1466041340976203
0.095,0.43,0.205,0.155,18,0.1466041340976203
0.11,0.2,0.285,0.155,18,0.1466041340976203
0.125,0.2,0.255,0.14,18,0.1466041340976203
0.13,0.215,0.085,0.16,18,0.1466041340976203
0.125,0.32,0.16,0.145,18,0.1466041340976203
0.175,0.235,0.28,0.135,18,0.1466041340976203
0.13,0.215,0.345,0.165,18,0.1466041340976203
0.08,0.32,0.3,0.13,18,0.1466041340976203
