base,extra,test,majority,num_classes,majority_all
0.375,0.6,0.625,0.145,11,0.13959277462181655
0.295,0.61,0.65,0.175,11,0.13959277462181655
0.33,0.565,0.69,0.15,11,0.13959277462181655
0.285,0.52,0.64,0.16,11,0.13959277462181655
0.31,0.72,0.605,0.17,11,0.13959277462181655
0.38,0.635,0.68,0.19,11,0.13959277462181655
0.37,0.34,0.64,0.14,11,0.13959277462181655
0.355,0.46,0.635,0.18,11,0.13959277462181655
0.21,0.4,0.57,0.145,11,0.13959277462181655
0.275,0.69,0.68,0.125,11,0.13959277462181655
0.36,0.68,0.475,0.13,11,0.13959277462181655
0.34,0.38,0.72,0.18,11,0.13959277462181655
0.27,0.6,0.64,0.2,11,0.13959277462181655
0.41,0.545,0.58,0.185,11,0.13959277462181655
0.235,0.71,0.545,0.155,11,0.13959277462181655
0.33,0.66,0.56,0.135,11,0.13959277462181655
0.315,0.4,0.745,0.175,11,0.13959277462181655
0.2,0.44,0.45,0.14,11,0.13959277462181655
0.365,0.615,0.56,0.15,11,0.13959277462181655
0.325,0.52,0.58,0.14,11,0.13959277462181655
0.295,0.27,0.32,0.15,11,0.13959277462181655
0.37,0.565,0.575,0.17,11,0.13959277462181655
0.405,0.58,0.645,0.15,11,0.13959277462181655
0.25,0.415,0.625,0.13,11,0.13959277462181655
0.28,0.79,0.73,0.15,11,0.13959277462181655
0.395,0.63,0.605,0.14,11,0.13959277462181655
0.395,0.59,0.55,0.17,11,0.13959277462181655
0.335,0.34,0.605,0.16,11,0.13959277462181655
0.33,0.74,0.675,0.13,11,0.13959277462181655
0.425,0.68,0.56,0.16,11,0.13959277462181655
0.22,0.63,0.345,0.2,11,0.13959277462181655
0.37,0.225,0.61,0.165,11,0.13959277462181655
0.385,0.7,0.62,0.135,11,0.13959277462181655
0.3,0.615,0.515,0.165,11,0.13959277462181655
0.445,0.56,0.69,0.14,11,0.13959277462181655
0.32,0.61,0.645,0.13,11,0.13959277462181655
0.38,0.515,0.53,0.14,11,0.13959277462181655
0.35,0.635,0.325,0.12,11,0.13959277462181655
0.305,0.525,0.67,0.15,11,0.13959277462181655
0.295,0.575,0.5,0.165,11,0.13959277462181655
0.33,0.55,0.72,0.145,11,0.13959277462181655
0.41,0.64,0.72,0.175,11,0.13959277462181655
0.315,0.515,0.595,0.145,11,0.13959277462181655
0.415,0.56,0.475,0.125,11,0.13959277462181655
0.275,0.65,0.135,0.145,11,0.13959277462181655
0.385,0.61,0.73,0.145,11,0.13959277462181655
0.26,0.675,0.62,0.155,11,0.13959277462181655
0.4,0.58,0.655,0.16,11,0.13959277462181655
0.345,0.315,0.39,0.145,11,0.13959277462181655
0.41,0.35,0.58,0.21,11,0.13959277462181655
