base,extra,test,majority,num_classes,majority_all
0.545,0.315,0.325,0.49,4,0.4574165423884364
0.36,0.33,0.37,0.47,4,0.4574165423884364
0.405,0.49,0.485,0.45,4,0.4574165423884364
0.465,0.41,0.42,0.465,4,0.4574165423884364
0.5,0.38,0.38,0.41,4,0.4574165423884364
0.47,0.36,0.39,0.345,4,0.4574165423884364
0.43,0.335,0.285,0.435,4,0.4574165423884364
0.41,0.31,0.32,0.51,4,0.4574165423884364
0.415,0.365,0.415,0.495,4,0.4574165423884364
0.46,0.42,0.43,0.455,4,0.4574165423884364
0.36,0.365,0.415,0.445,4,0.4574165423884364
0.465,0.405,0.405,0.42,4,0.4574165423884364
0.545,0.445,0.47,0.45,4,0.4574165423884364
0.5,0.48,0.525,0.41,4,0.4574165423884364
0.45,0.42,0.43,0.425,4,0.4574165423884364
0.525,0.38,0.41,0.415,4,0.4574165423884364
0.515,0.36,0.375,0.435,4,0.4574165423884364
0.575,0.44,0.45,0.415,4,0.4574165423884364
0.485,0.515,0.53,0.455,4,0.4574165423884364
0.485,0.445,0.47,0.395,4,0.4574165423884364
0.365,0.375,0.405,0.48,4,0.4574165423884364
0.59,0.445,0.5,0.39,4,0.4574165423884364
0.475,0.37,0.41,0.495,4,0.4574165423884364
0.365,0.375,0.335,0.45,4,0.4574165423884364
0.39,0.42,0.42,0.44,4,0.4574165423884364
0.32,0.49,0.47,0.44,4,0.4574165423884364
0.36,0.41,0.395,0.51,4,0.4574165423884364
0.42,0.4,0.38,0.415,4,0.4574165423884364
0.365,0.555,0.395,0.515,4,0.4574165423884364
0.41,0.305,0.32,0.485,4,0.4574165423884364
0.38,0.47,0.43,0.42,4,0.4574165423884364
0.42,0.38,0.38,0.435,4,0.4574165423884364
0.485,0.345,0.48,0.435,4,0.4574165423884364
0.38,0.33,0.505,0.445,4,0.4574165423884364
0.535,0.32,0.295,0.45,4,0.4574165423884364
0.495,0.28,0.3,0.465,4,0.4574165423884364
0.365,0.425,0.445,0.475,4,0.4574165423884364
0.5,0.44,0.46,0.48,4,0.4574165423884364
0.315,0.425,0.41,0.445,4,0.4574165423884364
0.5,0.47,0.455,0.435,4,0.4574165423884364
0.615,0.415,0.425,0.49,4,0.4574165423884364
0.475,0.365,0.35,0.49,4,0.4574165423884364
0.42,0.44,0.415,0.445,4,0.4574165423884364
0.465,0.415,0.42,0.47,4,0.4574165423884364
0.48,0.43,0.455,0.46,4,0.4574165423884364
0.375,0.31,0.39,0.485,4,0.4574165423884364
0.485,0.34,0.35,0.49,4,0.4574165423884364
0.41,0.36,0.375,0.485,4,0.4574165423884364
0.495,0.42,0.43,0.47,4,0.4574165423884364
0.335,0.485,0.375,0.425,4,0.4574165423884364
