base,extra,test,majority,num_classes,majority_all
0.13,0.25,0.38,0.48,4,0.4260586319218241
0.38,0.31,0.23,0.49,4,0.4260586319218241
0.12,0.09,0.13,0.54,4,0.4260586319218241
0.3,0.3,0.38,0.39,4,0.4260586319218241
0.23,0.31,0.25,0.37,4,0.4260586319218241
0.37,0.32,0.33,0.48,4,0.4260586319218241
0.2,0.25,0.29,0.51,4,0.4260586319218241
0.23,0.25,0.24,0.44,4,0.4260586319218241
0.26,0.31,0.25,0.38,4,0.4260586319218241
0.37,0.39,0.37,0.38,4,0.4260586319218241
0.25,0.21,0.38,0.42,4,0.4260586319218241
0.28,0.24,0.28,0.43,4,0.4260586319218241
0.3,0.12,0.32,0.46,4,0.4260586319218241
0.37,0.42,0.2,0.51,4,0.4260586319218241
0.22,0.1,0.26,0.37,4,0.4260586319218241
0.34,0.44,0.34,0.41,4,0.4260586319218241
0.17,0.27,0.43,0.46,4,0.4260586319218241
0.34,0.42,0.23,0.44,4,0.4260586319218241
0.19,0.36,0.21,0.41,4,0.4260586319218241
0.25,0.26,0.25,0.49,4,0.4260586319218241
0.31,0.44,0.25,0.46,4,0.4260586319218241
0.31,0.34,0.3,0.44,4,0.4260586319218241
0.26,0.11,0.1,0.53,4,0.4260586319218241
0.26,0.21,0.23,0.43,4,0.4260586319218241
0.32,0.46,0.23,0.52,4,0.4260586319218241
0.32,0.3,0.18,0.47,4,0.4260586319218241
0.28,0.42,0.29,0.47,4,0.4260586319218241
0.2,0.46,0.17,0.51,4,0.4260586319218241
0.2,0.28,0.15,0.45,4,0.4260586319218241
0.07,0.18,0.11,0.5,4,0.4260586319218241
0.26,0.34,0.37,0.45,4,0.4260586319218241
0.41,0.23,0.3,0.53,4,0.4260586319218241
0.28,0.32,0.33,0.44,4,0.4260586319218241
0.17,0.22,0.24,0.42,4,0.4260586319218241
0.33,0.35,0.3,0.37,4,0.4260586319218241
0.24,0.47,0.41,0.5,4,0.4260586319218241
0.19,0.23,0.18,0.47,4,0.4260586319218241
0.2,0.46,0.1,0.52,4,0.4260586319218241
0.37,0.34,0.35,0.4,4,0.4260586319218241
0.35,0.3,0.45,0.44,4,0.4260586319218241
0.29,0.38,0.54,0.49,4,0.4260586319218241
0.22,0.39,0.35,0.37,4,0.4260586319218241
0.2,0.22,0.14,0.44,4,0.4260586319218241
0.27,0.41,0.29,0.41,4,0.4260586319218241
0.23,0.35,0.13,0.43,4,0.4260586319218241
0.18,0.33,0.26,0.4,4,0.4260586319218241
0.3,0.2,0.26,0.41,4,0.4260586319218241
0.26,0.32,0.35,0.36,4,0.4260586319218241
0.26,0.34,0.15,0.37,4,0.4260586319218241
0.27,0.33,0.2,0.4,4,0.4260586319218241
0.36,0.28,0.21,0.42,4,0.4260586319218241
0.2,0.42,0.3,0.47,4,0.4260586319218241
0.24,0.22,0.24,0.44,4,0.4260586319218241
0.31,0.33,0.34,0.4,4,0.4260586319218241
0.22,0.15,0.27,0.45,4,0.4260586319218241
0.23,0.16,0.14,0.43,4,0.4260586319218241
0.18,0.28,0.25,0.47,4,0.4260586319218241
0.3,0.25,0.42,0.45,4,0.4260586319218241
0.13,0.25,0.33,0.43,4,0.4260586319218241
0.33,0.32,0.26,0.45,4,0.4260586319218241
0.18,0.47,0.49,0.43,4,0.4260586319218241
0.15,0.36,0.16,0.35,4,0.4260586319218241
0.33,0.33,0.29,0.45,4,0.4260586319218241
0.12,0.22,0.46,0.46,4,0.4260586319218241
0.27,0.35,0.25,0.44,4,0.4260586319218241
0.25,0.1,0.22,0.44,4,0.4260586319218241
0.17,0.1,0.19,0.44,4,0.4260586319218241
0.13,0.17,0.19,0.43,4,0.4260586319218241
0.21,0.37,0.32,0.38,4,0.4260586319218241
0.23,0.45,0.2,0.45,4,0.4260586319218241
0.18,0.38,0.29,0.46,4,0.4260586319218241
0.37,0.43,0.35,0.46,4,0.4260586319218241
0.29,0.27,0.38,0.51,4,0.4260586319218241
0.26,0.21,0.34,0.4,4,0.4260586319218241
0.25,0.2,0.17,0.48,4,0.4260586319218241
0.31,0.27,0.36,0.42,4,0.4260586319218241
0.32,0.33,0.3,0.39,4,0.4260586319218241
0.18,0.32,0.33,0.41,4,0.4260586319218241
0.15,0.24,0.13,0.49,4,0.4260586319218241
0.22,0.4,0.41,0.42,4,0.4260586319218241
0.21,0.29,0.23,0.41,4,0.4260586319218241
0.1,0.33,0.44,0.54,4,0.4260586319218241
0.34,0.37,0.37,0.5,4,0.4260586319218241
0.3,0.43,0.14,0.53,4,0.4260586319218241
0.2,0.44,0.14,0.44,4,0.4260586319218241
0.14,0.39,0.21,0.48,4,0.4260586319218241
0.21,0.35,0.28,0.41,4,0.4260586319218241
0.16,0.32,0.23,0.55,4,0.4260586319218241
0.22,0.38,0.31,0.45,4,0.4260586319218241
0.26,0.36,0.4,0.41,4,0.4260586319218241
0.21,0.31,0.25,0.42,4,0.4260586319218241
0.22,0.34,0.28,0.43,4,0.4260586319218241
0.08,0.12,0.15,0.46,4,0.4260586319218241
0.19,0.07,0.13,0.4,4,0.4260586319218241
0.23,0.18,0.44,0.45,4,0.4260586319218241
0.27,0.23,0.39,0.37,4,0.4260586319218241
0.27,0.29,0.27,0.41,4,0.4260586319218241
0.21,0.27,0.38,0.39,4,0.4260586319218241
0.19,0.36,0.36,0.51,4,0.4260586319218241
0.14,0.2,0.2,0.4,4,0.4260586319218241
