base,extra,test,majority,num_classes,majority_all
0.1,0.25,0.28,0.18,18,0.1466041340976203
0.14,0.22,0.24,0.19,18,0.1466041340976203
0.18,0.24,0.25,0.15,18,0.1466041340976203
0.15,0.38,0.34,0.09,18,0.1466041340976203
0.17,0.34,0.23,0.18,18,0.1466041340976203
0.17,0.06,0.28,0.15,18,0.1466041340976203
0.07,0.18,0.1,0.18,18,0.1466041340976203
0.12,0.15,0.16,0.2,18,0.1466041340976203
0.15,0.26,0.16,0.13,18,0.1466041340976203
0.08,0.25,0.21,0.14,18,0.1466041340976203
0.18,0.27,0.19,0.18,18,0.1466041340976203
0.12,0.08,0.07,0.16,18,0.1466041340976203
0.04,0.37,0.35,0.2,18,0.1466041340976203
0.14,0.26,0.21,0.13,18,0.1466041340976203
0.12,0.18,0.21,0.14,18,0.1466041340976203
0.18,0.38,0.2,0.18,18,0.1466041340976203
0.15,0.3,0.33,0.17,18,0.1466041340976203
0.1,0.27,0.26,0.16,18,0.1466041340976203
0.15,0.2,0.27,0.16,18,0.1466041340976203
0.18,0.22,0.26,0.14,18,0.1466041340976203
0.18,0.37,0.22,0.21,18,0.1466041340976203
0.1,0.33,0.32,0.18,18,0.1466041340976203
0.14,0.36,0.45,0.22,18,0.1466041340976203
0.08,0.14,0.17,0.19,18,0.1466041340976203
0.19,0.27,0.26,0.21,18,0.1466041340976203
0.12,0.19,0.27,0.19,18,0.1466041340976203
0.12,0.2,0.3,0.18,18,0.1466041340976203
0.1,0.29,0.27,0.17,18,0.1466041340976203
0.1,0.23,0.19,0.13,18,0.1466041340976203
0.11,0.23,0.26,0.24,18,0.1466041340976203
0.26,0.32,0.32,0.2,18,0.1466041340976203
0.12,0.25,0.25,0.12,18,0.1466041340976203
0.18,0.2,0.34,0.14,18,0.1466041340976203
0.17,0.19,0.27,0.16,18,0.1466041340976203
0.13,0.2,0.27,0.2,18,0.1466041340976203
0.12,0.28,0.13,0.15,18,0.1466041340976203
0.13,0.23,0.29,0.16,18,0.1466041340976203
0.19,0.3,0.15,0.2,18,0.1466041340976203
0.14,0.25,0.13,0.17,18,0.1466041340976203
0.1,0.32,0.34,0.16,18,0.1466041340976203
0.17,0.23,0.21,0.15,18,0.1466041340976203
0.13,0.3,0.26,0.24,18,0.1466041340976203
0.19,0.23,0.25,0.18,18,0.1466041340976203
0.1,0.22,0.31,0.15,18,0.1466041340976203
0.18,0.33,0.36,0.15,18,0.1466041340976203
0.12,0.37,0.38,0.15,18,0.1466041340976203
0.17,0.24,0.35,0.15,18,0.1466041340976203
0.26,0.33,0.22,0.14,18,0.1466041340976203
0.16,0.22,0.16,0.16,18,0.1466041340976203
0.13,0.18,0.28,0.1,18,0.1466041340976203
0.23,0.36,0.39,0.17,18,0.1466041340976203
0.18,0.11,0.19,0.17,18,0.1466041340976203
0.1,0.21,0.15,0.17,18,0.1466041340976203
0.15,0.17,0.33,0.2,18,0.1466041340976203
0.09,0.08,0.38,0.2,18,0.1466041340976203
0.14,0.29,0.3,0.15,18,0.1466041340976203
0.08,0.23,0.2,0.15,18,0.1466041340976203
0.17,0.12,0.28,0.16,18,0.1466041340976203
0.14,0.19,0.25,0.12,18,0.1466041340976203
0.12,0.16,0.15,0.14,18,0.1466041340976203
0.18,0.24,0.21,0.18,18,0.1466041340976203
0.2,0.2,0.29,0.16,18,0.1466041340976203
0.09,0.26,0.25,0.15,18,0.1466041340976203
0.15,0.22,0.3,0.13,18,0.1466041340976203
0.08,0.37,0.28,0.14,18,0.1466041340976203
0.05,0.39,0.35,0.19,18,0.1466041340976203
0.13,0.25,0.3,0.16,18,0.1466041340976203
0.12,0.36,0.42,0.19,18,0.1466041340976203
0.16,0.1,0.11,0.16,18,0.1466041340976203
0.07,0.28,0.21,0.2,18,0.1466041340976203
0.25,0.38,0.34,0.17,18,0.1466041340976203
0.12,0.16,0.18,0.15,18,0.1466041340976203
0.14,0.29,0.2,0.14,18,0.1466041340976203
0.14,0.37,0.21,0.22,18,0.1466041340976203
0.25,0.17,0.46,0.22,18,0.1466041340976203
0.16,0.16,0.2,0.16,18,0.1466041340976203
0.27,0.22,0.24,0.2,18,0.1466041340976203
0.26,0.26,0.22,0.15,18,0.1466041340976203
0.11,0.14,0.21,0.15,18,0.1466041340976203
0.12,0.14,0.24,0.15,18,0.1466041340976203
0.11,0.19,0.31,0.14,18,0.1466041340976203
0.12,0.36,0.3,0.18,18,0.1466041340976203
0.15,0.15,0.25,0.14,18,0.1466041340976203
0.16,0.27,0.25,0.16,18,0.1466041340976203
0.14,0.19,0.13,0.16,18,0.1466041340976203
0.09,0.33,0.17,0.19,18,0.1466041340976203
0.14,0.27,0.36,0.15,18,0.1466041340976203
0.15,0.34,0.34,0.16,18,0.1466041340976203
0.09,0.02,0.19,0.18,18,0.1466041340976203
0.1,0.28,0.37,0.16,18,0.1466041340976203
0.15,0.19,0.2,0.14,18,0.1466041340976203
0.11,0.26,0.05,0.15,18,0.1466041340976203
0.14,0.33,0.34,0.16,18,0.1466041340976203
0.12,0.36,0.29,0.13,18,0.1466041340976203
0.18,0.31,0.32,0.12,18,0.1466041340976203
0.15,0.25,0.32,0.12,18,0.1466041340976203
0.1,0.3,0.32,0.17,18,0.1466041340976203
0.12,0.23,0.19,0.16,18,0.1466041340976203
0.26,0.37,0.25,0.2,18,0.1466041340976203
0.09,0.31,0.31,0.16,18,0.1466041340976203
