base,extra,test,majority,num_classes,majority_all
0.9,0.94,0.945,0.5,3,0.4950914982844072
0.935,0.955,0.92,0.515,3,0.4950914982844072
0.89,0.91,0.885,0.47,3,0.4950914982844072
0.885,0.94,0.91,0.465,3,0.4950914982844072
0.86,0.925,0.92,0.55,3,0.4950914982844072
0.91,0.94,0.915,0.45,3,0.4950914982844072
0.945,0.975,0.95,0.52,3,0.4950914982844072
0.915,0.915,0.93,0.49,3,0.4950914982844072
0.935,0.94,0.945,0.46,3,0.4950914982844072
0.89,0.9,0.94,0.46,3,0.4950914982844072
0.93,0.95,0.945,0.47,3,0.4950914982844072
0.925,0.945,0.935,0.57,3,0.4950914982844072
0.945,0.93,0.93,0.495,3,0.4950914982844072
0.9,0.895,0.91,0.515,3,0.4950914982844072
0.93,0.935,0.94,0.465,3,0.4950914982844072
0.94,0.97,0.96,0.46,3,0.4950914982844072
0.905,0.885,0.925,0.485,3,0.4950914982844072
0.865,0.9,0.92,0.475,3,0.4950914982844072
0.945,0.94,0.91,0.465,3,0.4950914982844072
0.96,0.94,0.94,0.525,3,0.4950914982844072
0.895,0.895,0.905,0.5,3,0.4950914982844072
0.9,0.915,0.925,0.53,3,0.4950914982844072
0.95,0.975,0.955,0.515,3,0.4950914982844072
0.895,0.93,0.925,0.535,3,0.4950914982844072
0.935,0.91,0.895,0.49,3,0.4950914982844072
0.95,0.915,0.905,0.48,3,0.4950914982844072
0.93,0.945,0.95,0.56,3,0.4950914982844072
0.965,0.945,0.945,0.505,3,0.4950914982844072
0.905,0.945,0.94,0.52,3,0.4950914982844072
0.9,0.9,0.89,0.495,3,0.4950914982844072
0.895,0.92,0.895,0.515,3,0.4950914982844072
0.925,0.91,0.925,0.49,3,0.4950914982844072
0.905,0.905,0.9,0.55,3,0.4950914982844072
0.92,0.92,0.925,0.495,3,0.4950914982844072
0.94,0.94,0.94,0.53,3,0.4950914982844072
0.885,0.905,0.905,0.485,3,0.4950914982844072
0.865,0.93,0.92,0.565,3,0.4950914982844072
0.915,0.95,0.935,0.46,3,0.4950914982844072
0.935,0.915,0.925,0.51,3,0.4950914982844072
0.93,0.95,0.95,0.53,3,0.4950914982844072
0.895,0.94,0.905,0.53,3,0.4950914982844072
0.93,0.94,0.935,0.49,3,0.4950914982844072
0.885,0.945,0.905,0.45,3,0.4950914982844072
0.86,0.91,0.875,0.48,3,0.4950914982844072
0.89,0.86,0.87,0.53,3,0.4950914982844072
0.92,0.93,0.95,0.52,3,0.4950914982844072
0.95,0.945,0.935,0.56,3,0.4950914982844072
0.925,0.945,0.94,0.495,3,0.4950914982844072
0.89,0.93,0.955,0.465,3,0.4950914982844072
0.855,0.875,0.87,0.505,3,0.4950914982844072
