base,extra,test,majority,num_classes,majority_all
0.445,0.45,0.465,0.25,6,0.2292736610418195
0.33,0.525,0.41,0.25,6,0.2292736610418195
0.405,0.61,0.275,0.245,6,0.2292736610418195
0.295,0.365,0.49,0.225,6,0.2292736610418195
0.33,0.57,0.51,0.24,6,0.2292736610418195
0.27,0.51,0.51,0.27,6,0.2292736610418195
0.24,0.44,0.41,0.285,6,0.2292736610418195
0.385,0.41,0.555,0.225,6,0.2292736610418195
0.48,0.43,0.33,0.285,6,0.2292736610418195
0.185,0.32,0.45,0.3,6,0.2292736610418195
0.33,0.46,0.335,0.26,6,0.2292736610418195
0.36,0.47,0.445,0.285,6,0.2292736610418195
0.27,0.375,0.6,0.25,6,0.2292736610418195
0.335,0.55,0.6,0.275,6,0.2292736610418195
0.33,0.365,0.4,0.245,6,0.2292736610418195
0.35,0.425,0.285,0.26,6,0.2292736610418195
0.51,0.435,0.415,0.28,6,0.2292736610418195
0.32,0.415,0.555,0.26,6,0.2292736610418195
0.28,0.59,0.5,0.255,6,0.2292736610418195
0.36,0.4,0.485,0.225,6,0.2292736610418195
0.325,0.49,0.42,0.285,6,0.2292736610418195
0.4,0.58,0.505,0.265,6,0.2292736610418195
0.385,0.425,0.425,0.25,6,0.2292736610418195
0.34,0.55,0.59,0.25,6,0.2292736610418195
0.43,0.315,0.45,0.235,6,0.2292736610418195
0.33,0.56,0.455,0.23,6,0.2292736610418195
0.42,0.425,0.465,0.25,6,0.2292736610418195
0.34,0.445,0.515,0.245,6,0.2292736610418195
0.415,0.39,0.575,0.225,6,0.2292736610418195
0.31,0.595,0.38,0.285,6,0.2292736610418195
0.465,0.44,0.505,0.25,6,0.2292736610418195
0.26,0.52,0.42,0.22,6,0.2292736610418195
0.31,0.24,0.475,0.22,6,0.2292736610418195
0.39,0.465,0.53,0.235,6,0.2292736610418195
0.335,0.325,0.325,0.225,6,0.2292736610418195
0.4,0.45,0.475,0.255,6,0.2292736610418195
0.47,0.36,0.355,0.265,6,0.2292736610418195
0.335,0.455,0.495,0.27,6,0.2292736610418195
0.385,0.445,0.545,0.275,6,0.2292736610418195
0.29,0.35,0.58,0.235,6,0.2292736610418195
0.36,0.61,0.34,0.23,6,0.2292736610418195
0.33,0.32,0.32,0.245,6,0.2292736610418195
0.38,0.45,0.25,0.255,6,0.2292736610418195
0.325,0.585,0.35,0.25,6,0.2292736610418195
0.355,0.52,0.385,0.24,6,0.2292736610418195
0.23,0.165,0.29,0.26,6,0.2292736610418195
0.445,0.495,0.565,0.265,6,0.2292736610418195
0.41,0.585,0.455,0.305,6,0.2292736610418195
0.385,0.625,0.455,0.22,6,0.2292736610418195
0.37,0.45,0.5,0.265,6,0.2292736610418195
