base,extra,test,majority,num_classes,majority_all
0.575,0.685,0.52,0.895,2,0.8946
0.415,0.69,0.705,0.92,2,0.8946
0.445,0.655,0.615,0.9,2,0.8946
0.415,0.785,0.805,0.87,2,0.8946
0.39,0.745,0.745,0.895,2,0.8946
0.425,0.78,0.765,0.86,2,0.8946
0.51,0.845,0.79,0.91,2,0.8946
0.315,0.8,0.815,0.87,2,0.8946
0.53,0.79,0.78,0.895,2,0.8946
0.325,0.685,0.82,0.915,2,0.8946
0.315,0.49,0.64,0.91,2,0.8946
0.2,0.725,0.63,0.91,2,0.8946
0.33,0.585,0.59,0.915,2,0.8946
0.43,0.845,0.835,0.93,2,0.8946
0.55,0.76,0.75,0.89,2,0.8946
0.505,0.82,0.755,0.89,2,0.8946
0.455,0.805,0.81,0.88,2,0.8946
0.67,0.705,0.695,0.89,2,0.8946
0.57,0.825,0.84,0.91,2,0.8946
0.27,0.805,0.745,0.92,2,0.8946
0.56,0.85,0.84,0.895,2,0.8946
0.2,0.695,0.645,0.91,2,0.8946
0.17,0.71,0.83,0.905,2,0.8946
0.415,0.815,0.775,0.87,2,0.8946
0.585,0.82,0.84,0.915,2,0.8946
0.69,0.745,0.69,0.915,2,0.8946
0.175,0.865,0.875,0.91,2,0.8946
0.32,0.74,0.73,0.9,2,0.8946
0.41,0.805,0.82,0.895,2,0.8946
0.655,0.735,0.745,0.915,2,0.8946
0.315,0.615,0.49,0.905,2,0.8946
0.51,0.83,0.815,0.93,2,0.8946
0.165,0.835,0.825,0.93,2,0.8946
0.6,0.795,0.84,0.915,2,0.8946
0.465,0.695,0.66,0.895,2,0.8946
0.485,0.82,0.76,0.895,2,0.8946
0.6,0.85,0.7,0.88,2,0.8946
0.38,0.775,0.735,0.935,2,0.8946
0.595,0.745,0.725,0.875,2,0.8946
0.44,0.77,0.81,0.92,2,0.8946
0.6,0.82,0.85,0.905,2,0.8946
0.135,0.77,0.805,0.905,2,0.8946
0.275,0.83,0.775,0.885,2,0.8946
0.625,0.785,0.78,0.94,2,0.8946
0.62,0.715,0.665,0.905,2,0.8946
0.36,0.685,0.65,0.895,2,0.8946
0.445,0.815,0.735,0.9,2,0.8946
0.365,0.865,0.845,0.92,2,0.8946
0.68,0.77,0.76,0.92,2,0.8946
0.515,0.665,0.655,0.95,2,0.8946
