base,extra,test,majority,num_classes,majority_all
0.35,0.44,0.42,0.425,4,0.4956233421750663
0.26,0.41,0.435,0.46,4,0.4956233421750663
0.265,0.395,0.35,0.44,4,0.4956233421750663
0.18,0.405,0.385,0.56,4,0.4956233421750663
0.21,0.425,0.405,0.515,4,0.4956233421750663
0.265,0.4,0.415,0.5,4,0.4956233421750663
0.28,0.47,0.38,0.515,4,0.4956233421750663
0.22,0.44,0.39,0.54,4,0.4956233421750663
0.275,0.4,0.36,0.46,4,0.4956233421750663
0.285,0.505,0.51,0.45,4,0.4956233421750663
0.275,0.505,0.515,0.46,4,0.4956233421750663
0.205,0.38,0.395,0.475,4,0.4956233421750663
0.25,0.49,0.49,0.505,4,0.4956233421750663
0.225,0.47,0.46,0.485,4,0.4956233421750663
0.225,0.395,0.395,0.505,4,0.4956233421750663
0.225,0.405,0.355,0.555,4,0.4956233421750663
0.195,0.445,0.45,0.525,4,0.4956233421750663
0.265,0.43,0.42,0.46,4,0.4956233421750663
0.205,0.425,0.39,0.425,4,0.4956233421750663
0.245,0.41,0.41,0.455,4,0.4956233421750663
0.185,0.445,0.42,0.555,4,0.4956233421750663
0.2,0.395,0.375,0.52,4,0.4956233421750663
0.165,0.45,0.495,0.565,4,0.4956233421750663
0.255,0.315,0.335,0.44,4,0.4956233421750663
0.255,0.395,0.445,0.53,4,0.4956233421750663
0.21,0.355,0.365,0.475,4,0.4956233421750663
0.25,0.365,0.415,0.485,4,0.4956233421750663
0.23,0.39,0.43,0.545,4,0.4956233421750663
0.265,0.495,0.455,0.48,4,0.4956233421750663
0.23,0.405,0.43,0.48,4,0.4956233421750663
0.21,0.355,0.4,0.525,4,0.4956233421750663
0.28,0.525,0.515,0.48,4,0.4956233421750663
0.19,0.405,0.375,0.49,4,0.4956233421750663
0.205,0.395,0.36,0.485,4,0.4956233421750663
0.18,0.365,0.385,0.515,4,0.4956233421750663
0.2,0.39,0.425,0.46,4,0.4956233421750663
0.205,0.4,0.455,0.545,4,0.4956233421750663
0.21,0.38,0.38,0.52,4,0.4956233421750663
0.205,0.43,0.435,0.515,4,0.4956233421750663
0.185,0.375,0.41,0.465,4,0.4956233421750663
0.205,0.345,0.4,0.45,4,0.4956233421750663
0.235,0.475,0.445,0.455,4,0.4956233421750663
0.28,0.395,0.455,0.455,4,0.4956233421750663
0.205,0.47,0.44,0.515,4,0.4956233421750663
0.2,0.465,0.405,0.485,4,0.4956233421750663
0.25,0.4,0.415,0.51,4,0.4956233421750663
0.15,0.49,0.45,0.475,4,0.4956233421750663
0.17,0.415,0.405,0.57,4,0.4956233421750663
0.185,0.355,0.405,0.56,4,0.4956233421750663
0.2,0.375,0.32,0.55,4,0.4956233421750663
