base,extra,test,majority,num_classes,majority_all
0.56,0.545,0.565,0.515,2,0.5
0.52,0.48,0.475,0.525,2,0.5
0.505,0.505,0.505,0.515,2,0.5
0.505,0.535,0.475,0.5,2,0.5
0.52,0.57,0.57,0.53,2,0.5
0.435,0.475,0.48,0.535,2,0.5
0.54,0.585,0.535,0.535,2,0.5
0.525,0.53,0.495,0.52,2,0.5
0.54,0.51,0.495,0.525,2,0.5
0.465,0.51,0.5,0.515,2,0.5
0.565,0.53,0.53,0.53,2,0.5
0.485,0.495,0.505,0.53,2,0.5
0.55,0.46,0.555,0.54,2,0.5
0.48,0.525,0.535,0.51,2,0.5
0.495,0.485,0.505,0.52,2,0.5
0.45,0.44,0.445,0.555,2,0.5
0.5,0.465,0.465,0.5,2,0.5
0.505,0.515,0.52,0.51,2,0.5
0.565,0.55,0.53,0.51,2,0.5
0.505,0.48,0.465,0.545,2,0.5
0.6,0.485,0.48,0.515,2,0.5
0.465,0.58,0.585,0.585,2,0.5
0.46,0.525,0.515,0.525,2,0.5
0.53,0.49,0.47,0.52,2,0.5
0.465,0.5,0.495,0.505,2,0.5
0.51,0.49,0.48,0.56,2,0.5
0.57,0.555,0.545,0.515,2,0.5
0.525,0.495,0.5,0.505,2,0.5
0.425,0.43,0.435,0.59,2,0.5
0.54,0.535,0.54,0.535,2,0.5
0.53,0.475,0.475,0.525,2,0.5
0.51,0.52,0.53,0.53,2,0.5
0.465,0.48,0.475,0.52,2,0.5
0.555,0.525,0.52,0.505,2,0.5
0.455,0.465,0.47,0.55,2,0.5
0.555,0.56,0.555,0.555,2,0.5
0.495,0.485,0.485,0.5,2,0.5
0.5,0.505,0.495,0.505,2,0.5
0.465,0.475,0.465,0.54,2,0.5
0.555,0.485,0.495,0.52,2,0.5
0.535,0.545,0.555,0.53,2,0.5
0.49,0.49,0.52,0.505,2,0.5
0.55,0.515,0.54,0.525,2,0.5
0.49,0.585,0.575,0.5,2,0.5
0.5,0.505,0.52,0.51,2,0.5
0.485,0.475,0.48,0.53,2,0.5
0.575,0.52,0.54,0.525,2,0.5
0.47,0.415,0.445,0.52,2,0.5
0.5,0.485,0.475,0.515,2,0.5
0.45,0.475,0.48,0.525,2,0.5
