base,extra,test,majority,num_classes,majority_all
0.185,0.265,0.165,0.25,6,0.2292736610418195
0.155,0.22,0.2,0.25,6,0.2292736610418195
0.2,0.23,0.215,0.245,6,0.2292736610418195
0.18,0.225,0.245,0.225,6,0.2292736610418195
0.27,0.31,0.34,0.24,6,0.2292736610418195
0.14,0.175,0.25,0.27,6,0.2292736610418195
0.22,0.225,0.195,0.285,6,0.2292736610418195
0.145,0.245,0.215,0.225,6,0.2292736610418195
0.23,0.245,0.26,0.285,6,0.2292736610418195
0.175,0.26,0.29,0.3,6,0.2292736610418195
0.12,0.175,0.205,0.26,6,0.2292736610418195
0.15,0.2,0.27,0.285,6,0.2292736610418195
0.205,0.18,0.165,0.25,6,0.2292736610418195
0.115,0.245,0.25,0.275,6,0.2292736610418195
0.2,0.16,0.2,0.245,6,0.2292736610418195
0.145,0.215,0.18,0.26,6,0.2292736610418195
0.185,0.225,0.215,0.28,6,0.2292736610418195
0.14,0.225,0.255,0.26,6,0.2292736610418195
0.185,0.21,0.2,0.255,6,0.2292736610418195
0.2,0.21,0.155,0.225,6,0.2292736610418195
0.185,0.205,0.205,0.285,6,0.2292736610418195
0.23,0.18,0.275,0.265,6,0.2292736610418195
0.185,0.225,0.255,0.25,6,0.2292736610418195
0.16,0.26,0.245,0.25,6,0.2292736610418195
0.225,0.235,0.245,0.235,6,0.2292736610418195
0.04,0.265,0.255,0.23,6,0.2292736610418195
0.135,0.21,0.235,0.25,6,0.2292736610418195
0.17,0.25,0.295,0.245,6,0.2292736610418195
0.21,0.195,0.25,0.225,6,0.2292736610418195
0.235,0.245,0.215,0.285,6,0.2292736610418195
0.195,0.225,0.21,0.25,6,0.2292736610418195
0.15,0.205,0.21,0.22,6,0.2292736610418195
0.095,0.205,0.21,0.22,6,0.2292736610418195
0.17,0.19,0.22,0.235,6,0.2292736610418195
0.06,0.225,0.245,0.225,6,0.2292736610418195
0.135,0.215,0.215,0.255,6,0.2292736610418195
0.165,0.24,0.235,0.265,6,0.2292736610418195
0.16,0.22,0.245,0.27,6,0.2292736610418195
0.145,0.22,0.205,0.275,6,0.2292736610418195
0.145,0.26,0.235,0.235,6,0.2292736610418195
0.23,0.26,0.27,0.23,6,0.2292736610418195
0.165,0.195,0.25,0.245,6,0.2292736610418195
0.21,0.235,0.19,0.255,6,0.2292736610418195
0.175,0.24,0.27,0.25,6,0.2292736610418195
0.21,0.21,0.21,0.24,6,0.2292736610418195
0.185,0.17,0.155,0.26,6,0.2292736610418195
0.13,0.17,0.22,0.265,6,0.2292736610418195
0.295,0.225,0.275,0.305,6,0.2292736610418195
0.17,0.305,0.27,0.22,6,0.2292736610418195
0.185,0.195,0.19,0.265,6,0.2292736610418195
