base,extra,test,majority,num_classes,majority_all
0.06,0.1,0.14,0.22,9,0.20989559691330004
0.12,0.26,0.18,0.2,9,0.20989559691330004
0.16,0.3,0.3,0.18,9,0.20989559691330004
0.12,0.3,0.24,0.22,9,0.20989559691330004
0.16,0.18,0.12,0.24,9,0.20989559691330004
0.2,0.2,0.26,0.34,9,0.20989559691330004
0.08,0.36,0.24,0.26,9,0.20989559691330004
0.1,0.26,0.2,0.34,9,0.20989559691330004
0.12,0.22,0.18,0.28,9,0.20989559691330004
0.14,0.32,0.12,0.3,9,0.20989559691330004
0.26,0.18,0.22,0.22,9,0.20989559691330004
0.06,0.22,0.34,0.36,9,0.20989559691330004
0.24,0.24,0.26,0.2,9,0.20989559691330004
0.14,0.22,0.34,0.32,9,0.20989559691330004
0.14,0.18,0.12,0.24,9,0.20989559691330004
0.22,0.1,0.2,0.32,9,0.20989559691330004
0.2,0.3,0.28,0.2,9,0.20989559691330004
0.14,0.14,0.1,0.2,9,0.20989559691330004
0.18,0.3,0.26,0.32,9,0.20989559691330004
0.1,0.18,0.18,0.22,9,0.20989559691330004
0.1,0.36,0.26,0.22,9,0.20989559691330004
0.12,0.3,0.16,0.26,9,0.20989559691330004
0.04,0.16,0.22,0.24,9,0.20989559691330004
0.16,0.3,0.2,0.26,9,0.20989559691330004
0.3,0.2,0.12,0.22,9,0.20989559691330004
0.08,0.1,0.14,0.26,9,0.20989559691330004
0.2,0.2,0.16,0.2,9,0.20989559691330004
0.16,0.18,0.22,0.22,9,0.20989559691330004
0.24,0.3,0.2,0.2,9,0.20989559691330004
0.26,0.24,0.22,0.26,9,0.20989559691330004
0.24,0.28,0.26,0.22,9,0.20989559691330004
0.18,0.3,0.22,0.22,9,0.20989559691330004
0.14,0.24,0.24,0.22,9,0.20989559691330004
0.12,0.16,0.12,0.26,9,0.20989559691330004
0.22,0.12,0.26,0.3,9,0.20989559691330004
0.18,0.14,0.08,0.24,9,0.20989559691330004
0.16,0.22,0.16,0.22,9,0.20989559691330004
0.12,0.2,0.1,0.24,9,0.20989559691330004
0.14,0.14,0.38,0.3,9,0.20989559691330004
0.2,0.14,0.22,0.2,9,0.20989559691330004
0.02,0.18,0.28,0.32,9,0.20989559691330004
0.18,0.28,0.18,0.28,9,0.20989559691330004
0.08,0.22,0.1,0.26,9,0.20989559691330004
0.12,0.32,0.04,0.24,9,0.20989559691330004
0.24,0.18,0.16,0.22,9,0.20989559691330004
0.16,0.4,0.28,0.32,9,0.20989559691330004
0.0,0.06,0.2,0.3,9,0.20989559691330004
0.26,0.04,0.18,0.28,9,0.20989559691330004
0.24,0.18,0.28,0.24,9,0.20989559691330004
0.1,0.22,0.18,0.22,9,0.20989559691330004
0.12,0.2,0.2,0.22,9,0.20989559691330004
0.22,0.24,0.26,0.18,9,0.20989559691330004
0.12,0.16,0.2,0.22,9,0.20989559691330004
0.18,0.26,0.18,0.22,9,0.20989559691330004
0.08,0.18,0.16,0.24,9,0.20989559691330004
0.24,0.28,0.4,0.28,9,0.20989559691330004
0.18,0.16,0.1,0.24,9,0.20989559691330004
0.12,0.12,0.32,0.3,9,0.20989559691330004
0.22,0.28,0.32,0.22,9,0.20989559691330004
0.18,0.18,0.18,0.28,9,0.20989559691330004
0.34,0.24,0.1,0.22,9,0.20989559691330004
0.18,0.24,0.22,0.2,9,0.20989559691330004
0.26,0.2,0.16,0.24,9,0.20989559691330004
0.2,0.18,0.18,0.24,9,0.20989559691330004
0.14,0.2,0.26,0.26,9,0.20989559691330004
0.26,0.18,0.2,0.28,9,0.20989559691330004
0.18,0.24,0.18,0.24,9,0.20989559691330004
0.08,0.42,0.24,0.26,9,0.20989559691330004
0.14,0.24,0.14,0.22,9,0.20989559691330004
0.24,0.1,0.1,0.36,9,0.20989559691330004
0.04,0.18,0.3,0.26,9,0.20989559691330004
0.18,0.18,0.18,0.22,9,0.20989559691330004
0.1,0.16,0.2,0.26,9,0.20989559691330004
0.12,0.18,0.2,0.26,9,0.20989559691330004
0.24,0.2,0.26,0.32,9,0.20989559691330004
0.28,0.24,0.04,0.24,9,0.20989559691330004
0.12,0.14,0.22,0.24,9,0.20989559691330004
0.26,0.18,0.26,0.28,9,0.20989559691330004
0.12,0.22,0.2,0.2,9,0.20989559691330004
0.1,0.24,0.2,0.24,9,0.20989559691330004
0.14,0.2,0.14,0.22,9,0.20989559691330004
0.14,0.26,0.14,0.2,9,0.20989559691330004
0.18,0.22,0.04,0.24,9,0.20989559691330004
0.1,0.34,0.36,0.28,9,0.20989559691330004
0.18,0.3,0.32,0.22,9,0.20989559691330004
0.32,0.2,0.06,0.32,9,0.20989559691330004
0.08,0.22,0.16,0.24,9,0.20989559691330004
0.08,0.34,0.4,0.32,9,0.20989559691330004
0.24,0.26,0.2,0.24,9,0.20989559691330004
0.14,0.1,0.2,0.34,9,0.20989559691330004
0.22,0.28,0.28,0.26,9,0.20989559691330004
0.16,0.22,0.16,0.26,9,0.20989559691330004
0.3,0.2,0.36,0.26,9,0.20989559691330004
0.08,0.16,0.1,0.18,9,0.20989559691330004
0.2,0.22,0.36,0.26,9,0.20989559691330004
0.12,0.26,0.18,0.18,9,0.20989559691330004
0.16,0.2,0.3,0.22,9,0.20989559691330004
0.28,0.26,0.3,0.24,9,0.20989559691330004
0.12,0.3,0.28,0.26,9,0.20989559691330004
0.24,0.2,0.08,0.24,9,0.20989559691330004
