base,extra,test,majority,num_classes,majority_all
0.22,0.18,0.32,0.22,5,0.2
0.28,0.22,0.32,0.22,5,0.2
0.18,0.28,0.22,0.24,5,0.2
0.28,0.3,0.4,0.3,5,0.2
0.18,0.24,0.34,0.28,5,0.2
0.22,0.22,0.16,0.28,5,0.2
0.4,0.32,0.28,0.3,5,0.2
0.2,0.48,0.28,0.26,5,0.2
0.2,0.24,0.34,0.32,5,0.2
0.28,0.34,0.4,0.32,5,0.2
0.2,0.3,0.18,0.28,5,0.2
0.16,0.22,0.44,0.28,5,0.2
0.18,0.12,0.12,0.34,5,0.2
0.28,0.36,0.3,0.26,5,0.2
0.36,0.26,0.32,0.3,5,0.2
0.26,0.42,0.3,0.3,5,0.2
0.22,0.34,0.2,0.28,5,0.2
0.2,0.14,0.3,0.26,5,0.2
0.24,0.3,0.22,0.22,5,0.2
0.22,0.4,0.26,0.26,5,0.2
0.2,0.34,0.2,0.32,5,0.2
0.2,0.2,0.12,0.28,5,0.2
0.2,0.2,0.32,0.34,5,0.2
0.22,0.18,0.28,0.22,5,0.2
0.3,0.34,0.36,0.28,5,0.2
0.18,0.18,0.3,0.3,5,0.2
0.26,0.2,0.32,0.24,5,0.2
0.26,0.22,0.22,0.24,5,0.2
0.18,0.18,0.26,0.26,5,0.2
0.18,0.3,0.28,0.26,5,0.2
0.28,0.3,0.26,0.26,5,0.2
0.18,0.38,0.08,0.24,5,0.2
0.24,0.22,0.34,0.22,5,0.2
0.26,0.22,0.28,0.26,5,0.2
0.28,0.34,0.32,0.28,5,0.2
0.2,0.16,0.16,0.28,5,0.2
0.26,0.24,0.16,0.26,5,0.2
0.18,0.28,0.36,0.26,5,0.2
0.28,0.26,0.18,0.26,5,0.2
0.32,0.24,0.34,0.34,5,0.2
0.22,0.14,0.22,0.26,5,0.2
0.36,0.4,0.34,0.3,5,0.2
0.2,0.26,0.46,0.24,5,0.2
0.22,0.32,0.26,0.26,5,0.2
0.12,0.24,0.3,0.28,5,0.2
0.16,0.32,0.22,0.26,5,0.2
0.3,0.38,0.24,0.24,5,0.2
0.2,0.36,0.38,0.26,5,0.2
0.14,0.22,0.22,0.26,5,0.2
0.22,0.4,0.4,0.22,5,0.2
0.24,0.4,0.22,0.26,5,0.2
0.26,0.36,0.26,0.32,5,0.2
0.28,0.38,0.44,0.28,5,0.2
0.42,0.34,0.24,0.32,5,0.2
0.16,0.32,0.28,0.26,5,0.2
0.22,0.26,0.26,0.24,5,0.2
0.08,0.18,0.18,0.28,5,0.2
0.18,0.3,0.28,0.28,5,0.2
0.22,0.28,0.3,0.24,5,0.2
0.26,0.28,0.4,0.3,5,0.2
0.36,0.3,0.32,0.32,5,0.2
0.32,0.26,0.32,0.32,5,0.2
0.24,0.36,0.26,0.24,5,0.2
0.2,0.36,0.32,0.38,5,0.2
0.38,0.2,0.42,0.28,5,0.2
0.14,0.34,0.22,0.24,5,0.2
0.2,0.38,0.44,0.28,5,0.2
0.3,0.18,0.18,0.26,5,0.2
0.2,0.4,0.36,0.36,5,0.2
0.16,0.22,0.36,0.3,5,0.2
0.24,0.32,0.2,0.24,5,0.2
0.16,0.28,0.38,0.26,5,0.2
0.3,0.2,0.28,0.26,5,0.2
0.12,0.26,0.32,0.26,5,0.2
0.18,0.28,0.3,0.24,5,0.2
0.26,0.3,0.1,0.32,5,0.2
0.28,0.4,0.28,0.28,5,0.2
0.32,0.18,0.1,0.32,5,0.2
0.22,0.26,0.28,0.26,5,0.2
0.22,0.24,0.4,0.26,5,0.2
0.3,0.38,0.16,0.34,5,0.2
0.28,0.34,0.2,0.32,5,0.2
0.24,0.16,0.22,0.22,5,0.2
0.22,0.18,0.22,0.24,5,0.2
0.22,0.3,0.18,0.26,5,0.2
0.26,0.38,0.4,0.26,5,0.2
0.12,0.18,0.14,0.28,5,0.2
0.06,0.12,0.14,0.36,5,0.2
0.22,0.46,0.5,0.26,5,0.2
0.14,0.34,0.24,0.3,5,0.2
0.22,0.22,0.24,0.24,5,0.2
0.12,0.38,0.32,0.28,5,0.2
0.2,0.22,0.36,0.24,5,0.2
0.16,0.16,0.28,0.24,5,0.2
0.08,0.28,0.4,0.34,5,0.2
0.28,0.26,0.26,0.3,5,0.2
0.32,0.36,0.44,0.3,5,0.2
0.14,0.18,0.24,0.32,5,0.2
0.28,0.26,0.26,0.28,5,0.2
0.22,0.36,0.3,0.28,5,0.2
