base,extra,test,majority,num_classes,majority_all
0.58,0.28,0.42,0.7,2,0.6222674986204847
0.6,0.36,0.34,0.66,2,0.6222674986204847
0.68,0.58,0.56,0.62,2,0.6222674986204847
0.56,0.32,0.22,0.68,2,0.6222674986204847
0.76,0.4,0.38,0.66,2,0.6222674986204847
0.7,0.4,0.44,0.58,2,0.6222674986204847
0.7,0.6,0.62,0.74,2,0.6222674986204847
0.7,0.38,0.46,0.72,2,0.6222674986204847
0.52,0.42,0.4,0.72,2,0.6222674986204847
0.72,0.34,0.42,0.66,2,0.6222674986204847
0.64,0.54,0.48,0.58,2,0.6222674986204847
0.62,0.34,0.32,0.68,2,0.6222674986204847
0.66,0.4,0.54,0.58,2,0.6222674986204847
0.72,0.5,0.44,0.74,2,0.6222674986204847
0.76,0.32,0.32,0.66,2,0.6222674986204847
0.62,0.36,0.36,0.62,2,0.6222674986204847
0.72,0.5,0.5,0.56,2,0.6222674986204847
0.66,0.58,0.48,0.74,2,0.6222674986204847
0.66,0.62,0.56,0.68,2,0.6222674986204847
0.58,0.42,0.5,0.74,2,0.6222674986204847
0.74,0.38,0.44,0.7,2,0.6222674986204847
0.58,0.5,0.44,0.54,2,0.6222674986204847
0.6,0.58,0.64,0.66,2,0.6222674986204847
0.66,0.6,0.66,0.64,2,0.6222674986204847
0.66,0.46,0.4,0.56,2,0.6222674986204847
0.62,0.5,0.54,0.52,2,0.6222674986204847
0.52,0.5,0.54,0.54,2,0.6222674986204847
0.66,0.44,0.46,0.66,2,0.6222674986204847
0.76,0.4,0.38,0.66,2,0.6222674986204847
0.66,0.58,0.56,0.6,2,0.6222674986204847
0.64,0.44,0.5,0.52,2,0.6222674986204847
0.78,0.34,0.32,0.62,2,0.6222674986204847
0.5,0.36,0.32,0.54,2,0.6222674986204847
0.72,0.4,0.36,0.62,2,0.6222674986204847
0.7,0.28,0.34,0.72,2,0.6222674986204847
0.56,0.6,0.6,0.6,2,0.6222674986204847
0.7,0.36,0.46,0.72,2,0.6222674986204847
0.66,0.42,0.42,0.62,2,0.6222674986204847
0.5,0.46,0.44,0.5,2,0.6222674986204847
0.7,0.48,0.4,0.66,2,0.6222674986204847
0.72,0.34,0.32,0.62,2,0.6222674986204847
0.6,0.56,0.52,0.62,2,0.6222674986204847
0.68,0.4,0.5,0.66,2,0.6222674986204847
0.66,0.34,0.36,0.62,2,0.6222674986204847
0.64,0.42,0.44,0.54,2,0.6222674986204847
0.6,0.28,0.36,0.62,2,0.6222674986204847
0.66,0.5,0.52,0.56,2,0.6222674986204847
0.72,0.38,0.44,0.72,2,0.6222674986204847
0.66,0.4,0.48,0.54,2,0.6222674986204847
0.62,0.64,0.68,0.58,2,0.6222674986204847
0.6,0.42,0.5,0.56,2,0.6222674986204847
0.6,0.28,0.24,0.68,2,0.6222674986204847
0.78,0.54,0.52,0.58,2,0.6222674986204847
0.58,0.5,0.56,0.54,2,0.6222674986204847
0.68,0.44,0.36,0.66,2,0.6222674986204847
0.72,0.36,0.32,0.56,2,0.6222674986204847
0.74,0.6,0.3,0.72,2,0.6222674986204847
0.66,0.44,0.46,0.64,2,0.6222674986204847
0.62,0.4,0.54,0.68,2,0.6222674986204847
0.62,0.42,0.38,0.6,2,0.6222674986204847
0.62,0.4,0.4,0.62,2,0.6222674986204847
0.64,0.4,0.4,0.54,2,0.6222674986204847
0.72,0.54,0.58,0.68,2,0.6222674986204847
0.58,0.44,0.42,0.62,2,0.6222674986204847
0.6,0.44,0.42,0.64,2,0.6222674986204847
0.54,0.36,0.46,0.64,2,0.6222674986204847
0.68,0.42,0.4,0.62,2,0.6222674986204847
0.78,0.26,0.3,0.74,2,0.6222674986204847
0.54,0.5,0.54,0.6,2,0.6222674986204847
0.76,0.54,0.58,0.52,2,0.6222674986204847
0.68,0.42,0.58,0.62,2,0.6222674986204847
0.64,0.48,0.44,0.56,2,0.6222674986204847
0.68,0.34,0.32,0.68,2,0.6222674986204847
0.66,0.5,0.46,0.52,2,0.6222674986204847
0.6,0.52,0.42,0.58,2,0.6222674986204847
0.7,0.28,0.36,0.7,2,0.6222674986204847
0.68,0.3,0.34,0.58,2,0.6222674986204847
0.56,0.42,0.38,0.52,2,0.6222674986204847
0.64,0.46,0.42,0.54,2,0.6222674986204847
0.76,0.36,0.4,0.68,2,0.6222674986204847
0.66,0.48,0.46,0.58,2,0.6222674986204847
0.72,0.42,0.44,0.66,2,0.6222674986204847
0.7,0.46,0.38,0.68,2,0.6222674986204847
0.62,0.44,0.52,0.58,2,0.6222674986204847
0.66,0.44,0.4,0.58,2,0.6222674986204847
0.62,0.32,0.32,0.54,2,0.6222674986204847
0.68,0.42,0.36,0.54,2,0.6222674986204847
0.66,0.58,0.62,0.68,2,0.6222674986204847
0.64,0.32,0.34,0.64,2,0.6222674986204847
0.52,0.42,0.46,0.52,2,0.6222674986204847
0.64,0.52,0.5,0.66,2,0.6222674986204847
0.6,0.46,0.38,0.52,2,0.6222674986204847
0.7,0.38,0.4,0.62,2,0.6222674986204847
0.62,0.3,0.42,0.52,2,0.6222674986204847
0.76,0.7,0.7,0.7,2,0.6222674986204847
0.56,0.44,0.44,0.7,2,0.6222674986204847
0.66,0.56,0.56,0.52,2,0.6222674986204847
0.5,0.32,0.4,0.6,2,0.6222674986204847
0.7,0.48,0.46,0.64,2,0.6222674986204847
0.64,0.46,0.4,0.68,2,0.6222674986204847
