base,extra,test,majority,num_classes,majority_all
0.12,0.08,0.06,0.14,11,0.13959277462181655
0.1,0.18,0.16,0.16,11,0.13959277462181655
0.08,0.06,0.08,0.16,11,0.13959277462181655
0.02,0.04,0.06,0.22,11,0.13959277462181655
0.1,0.12,0.1,0.14,11,0.13959277462181655
0.14,0.08,0.06,0.2,11,0.13959277462181655
0.08,0.06,0.06,0.18,11,0.13959277462181655
0.12,0.08,0.08,0.16,11,0.13959277462181655
0.14,0.02,0.02,0.18,11,0.13959277462181655
0.06,0.02,0.08,0.14,11,0.13959277462181655
0.14,0.08,0.02,0.2,11,0.13959277462181655
0.14,0.1,0.06,0.2,11,0.13959277462181655
0.14,0.04,0.04,0.28,11,0.13959277462181655
0.08,0.12,0.04,0.18,11,0.13959277462181655
0.08,0.12,0.1,0.16,11,0.13959277462181655
0.06,0.12,0.1,0.14,11,0.13959277462181655
0.06,0.1,0.0,0.16,11,0.13959277462181655
0.12,0.04,0.0,0.22,11,0.13959277462181655
0.12,0.04,0.04,0.2,11,0.13959277462181655
0.08,0.08,0.1,0.14,11,0.13959277462181655
0.14,0.02,0.04,0.16,11,0.13959277462181655
0.06,0.04,0.06,0.3,11,0.13959277462181655
0.08,0.14,0.1,0.22,11,0.13959277462181655
0.04,0.04,0.06,0.2,11,0.13959277462181655
0.08,0.06,0.08,0.2,11,0.13959277462181655
0.06,0.08,0.1,0.18,11,0.13959277462181655
0.12,0.04,0.04,0.16,11,0.13959277462181655
0.08,0.08,0.06,0.22,11,0.13959277462181655
0.1,0.06,0.06,0.22,11,0.13959277462181655
0.1,0.06,0.04,0.14,11,0.13959277462181655
0.06,0.08,0.06,0.16,11,0.13959277462181655
0.12,0.04,0.06,0.2,11,0.13959277462181655
0.08,0.14,0.06,0.24,11,0.13959277462181655
0.08,0.06,0.06,0.2,11,0.13959277462181655
0.08,0.08,0.02,0.16,11,0.13959277462181655
0.06,0.08,0.02,0.14,11,0.13959277462181655
0.06,0.08,0.08,0.16,11,0.13959277462181655
0.02,0.02,0.06,0.24,11,0.13959277462181655
0.08,0.08,0.1,0.18,11,0.13959277462181655
0.1,0.16,0.12,0.22,11,0.13959277462181655
0.08,0.06,0.02,0.14,11,0.13959277462181655
0.08,0.04,0.06,0.16,11,0.13959277462181655
0.14,0.04,0.02,0.16,11,0.13959277462181655
0.08,0.1,0.08,0.2,11,0.13959277462181655
0.06,0.08,0.06,0.18,11,0.13959277462181655
0.08,0.02,0.06,0.2,11,0.13959277462181655
0.08,0.08,0.08,0.14,11,0.13959277462181655
0.08,0.04,0.04,0.18,11,0.13959277462181655
0.12,0.08,0.02,0.18,11,0.13959277462181655
0.1,0.1,0.1,0.16,11,0.13959277462181655
0.06,0.0,0.06,0.16,11,0.13959277462181655
0.04,0.1,0.04,0.16,11,0.13959277462181655
0.2,0.04,0.0,0.14,11,0.13959277462181655
0.04,0.08,0.08,0.2,11,0.13959277462181655
0.12,0.1,0.1,0.22,11,0.13959277462181655
0.08,0.06,0.04,0.16,11,0.13959277462181655
0.18,0.04,0.04,0.22,11,0.13959277462181655
0.02,0.04,0.06,0.18,11,0.13959277462181655
0.08,0.02,0.04,0.24,11,0.13959277462181655
0.08,0.06,0.04,0.22,11,0.13959277462181655
0.14,0.08,0.1,0.12,11,0.13959277462181655
0.08,0.04,0.08,0.16,11,0.13959277462181655
0.02,0.04,0.06,0.16,11,0.13959277462181655
0.06,0.02,0.06,0.24,11,0.13959277462181655
0.08,0.08,0.08,0.18,11,0.13959277462181655
0.04,0.06,0.06,0.22,11,0.13959277462181655
0.08,0.1,0.04,0.2,11,0.13959277462181655
0.04,0.06,0.02,0.16,11,0.13959277462181655
0.12,0.1,0.08,0.2,11,0.13959277462181655
0.18,0.08,0.06,0.14,11,0.13959277462181655
0.18,0.06,0.1,0.16,11,0.13959277462181655
0.06,0.08,0.06,0.18,11,0.13959277462181655
0.1,0.06,0.08,0.18,11,0.13959277462181655
0.12,0.14,0.14,0.14,11,0.13959277462181655
0.06,0.08,0.08,0.24,11,0.13959277462181655
0.1,0.06,0.08,0.14,11,0.13959277462181655
0.04,0.04,0.02,0.16,11,0.13959277462181655
0.06,0.02,0.04,0.18,11,0.13959277462181655
0.14,0.02,0.06,0.16,11,0.13959277462181655
0.1,0.06,0.04,0.14,11,0.13959277462181655
0.16,0.04,0.08,0.18,11,0.13959277462181655
0.08,0.08,0.06,0.3,11,0.13959277462181655
0.08,0.02,0.02,0.14,11,0.13959277462181655
0.18,0.06,0.04,0.2,11,0.13959277462181655
0.06,0.08,0.04,0.16,11,0.13959277462181655
0.06,0.0,0.02,0.18,11,0.13959277462181655
0.12,0.08,0.06,0.16,11,0.13959277462181655
0.1,0.02,0.02,0.2,11,0.13959277462181655
0.06,0.14,0.06,0.18,11,0.13959277462181655
0.08,0.02,0.02,0.14,11,0.13959277462181655
0.12,0.06,0.04,0.18,11,0.13959277462181655
0.04,0.08,0.06,0.2,11,0.13959277462181655
0.1,0.08,0.06,0.18,11,0.13959277462181655
0.14,0.06,0.06,0.18,11,0.13959277462181655
0.04,0.08,0.06,0.14,11,0.13959277462181655
0.04,0.06,0.06,0.16,11,0.13959277462181655
0.18,0.06,0.06,0.22,11,0.13959277462181655
0.06,0.06,0.04,0.18,11,0.13959277462181655
0.06,0.06,0.06,0.24,11,0.13959277462181655
0.16,0.06,0.02,0.18,11,0.13959277462181655
