base,extra,test,majority,num_classes,majority_all
0.14,0.04,0.0,0.22,9,0.20989559691330004
0.1,0.1,0.14,0.2,9,0.20989559691330004
0.12,0.06,0.02,0.18,9,0.20989559691330004
0.18,0.0,0.0,0.22,9,0.20989559691330004
0.12,0.06,0.04,0.24,9,0.20989559691330004
0.1,0.02,0.08,0.34,9,0.20989559691330004
0.04,0.04,0.02,0.26,9,0.20989559691330004
0.1,0.22,0.2,0.34,9,0.20989559691330004
0.04,0.0,0.0,0.28,9,0.20989559691330004
0.06,0.04,0.04,0.3,9,0.20989559691330004
0.04,0.02,0.02,0.22,9,0.20989559691330004
0.06,0.04,0.02,0.36,9,0.20989559691330004
0.06,0.04,0.04,0.2,9,0.20989559691330004
0.06,0.02,0.04,0.32,9,0.20989559691330004
0.14,0.06,0.02,0.24,9,0.20989559691330004
0.12,0.06,0.06,0.32,9,0.20989559691330004
0.1,0.02,0.02,0.2,9,0.20989559691330004
0.16,0.04,0.06,0.2,9,0.20989559691330004
0.06,0.1,0.06,0.32,9,0.20989559691330004
0.06,0.06,0.12,0.22,9,0.20989559691330004
0.16,0.04,0.02,0.22,9,0.20989559691330004
0.16,0.2,0.08,0.26,9,0.20989559691330004
0.08,0.04,0.02,0.24,9,0.20989559691330004
0.08,0.08,0.1,0.26,9,0.20989559691330004
0.08,0.1,0.12,0.22,9,0.20989559691330004
0.08,0.12,0.16,0.26,9,0.20989559691330004
0.1,0.1,0.08,0.2,9,0.20989559691330004
0.12,0.08,0.06,0.22,9,0.20989559691330004
0.12,0.06,0.02,0.2,9,0.20989559691330004
0.2,0.02,0.04,0.26,9,0.20989559691330004
0.14,0.08,0.1,0.22,9,0.20989559691330004
0.1,0.04,0.08,0.22,9,0.20989559691330004
0.06,0.0,0.0,0.22,9,0.20989559691330004
0.06,0.1,0.06,0.26,9,0.20989559691330004
0.08,0.0,0.02,0.3,9,0.20989559691330004
0.12,0.02,0.04,0.24,9,0.20989559691330004
0.14,0.0,0.0,0.22,9,0.20989559691330004
0.08,0.06,0.06,0.24,9,0.20989559691330004
0.08,0.1,0.08,0.3,9,0.20989559691330004
0.12,0.04,0.08,0.2,9,0.20989559691330004
0.08,0.02,0.02,0.32,9,0.20989559691330004
0.08,0.14,0.18,0.28,9,0.20989559691330004
0.12,0.06,0.02,0.26,9,0.20989559691330004
0.1,0.1,0.08,0.24,9,0.20989559691330004
0.16,0.06,0.06,0.22,9,0.20989559691330004
0.08,0.06,0.06,0.32,9,0.20989559691330004
0.14,0.06,0.02,0.3,9,0.20989559691330004
0.1,0.12,0.04,0.28,9,0.20989559691330004
0.08,0.0,0.08,0.24,9,0.20989559691330004
0.04,0.06,0.04,0.22,9,0.20989559691330004
0.14,0.08,0.08,0.22,9,0.20989559691330004
0.18,0.0,0.0,0.18,9,0.20989559691330004
0.2,0.12,0.1,0.22,9,0.20989559691330004
0.1,0.04,0.08,0.22,9,0.20989559691330004
0.04,0.18,0.22,0.24,9,0.20989559691330004
0.12,0.02,0.04,0.28,9,0.20989559691330004
0.12,0.04,0.12,0.24,9,0.20989559691330004
0.06,0.08,0.02,0.3,9,0.20989559691330004
0.1,0.02,0.04,0.22,9,0.20989559691330004
0.08,0.08,0.04,0.28,9,0.20989559691330004
0.06,0.08,0.0,0.22,9,0.20989559691330004
0.16,0.1,0.1,0.2,9,0.20989559691330004
0.16,0.08,0.02,0.24,9,0.20989559691330004
0.02,0.04,0.02,0.24,9,0.20989559691330004
0.16,0.1,0.08,0.26,9,0.20989559691330004
0.1,0.02,0.06,0.28,9,0.20989559691330004
0.1,0.02,0.04,0.24,9,0.20989559691330004
0.1,0.14,0.12,0.26,9,0.20989559691330004
0.18,0.06,0.1,0.22,9,0.20989559691330004
0.06,0.02,0.02,0.36,9,0.20989559691330004
0.02,0.04,0.06,0.26,9,0.20989559691330004
0.04,0.04,0.06,0.22,9,0.20989559691330004
0.12,0.02,0.02,0.26,9,0.20989559691330004
0.14,0.06,0.04,0.26,9,0.20989559691330004
0.08,0.0,0.02,0.32,9,0.20989559691330004
0.14,0.06,0.1,0.24,9,0.20989559691330004
0.16,0.04,0.08,0.24,9,0.20989559691330004
0.08,0.1,0.06,0.28,9,0.20989559691330004
0.14,0.0,0.04,0.2,9,0.20989559691330004
0.12,0.02,0.04,0.24,9,0.20989559691330004
0.22,0.02,0.04,0.22,9,0.20989559691330004
0.12,0.02,0.06,0.2,9,0.20989559691330004
0.16,0.06,0.06,0.24,9,0.20989559691330004
0.02,0.12,0.06,0.28,9,0.20989559691330004
0.1,0.02,0.02,0.22,9,0.20989559691330004
0.1,0.08,0.08,0.32,9,0.20989559691330004
0.08,0.08,0.04,0.24,9,0.20989559691330004
0.22,0.06,0.08,0.32,9,0.20989559691330004
0.12,0.06,0.04,0.24,9,0.20989559691330004
0.08,0.04,0.04,0.34,9,0.20989559691330004
0.12,0.06,0.04,0.26,9,0.20989559691330004
0.1,0.14,0.2,0.26,9,0.20989559691330004
0.12,0.02,0.02,0.26,9,0.20989559691330004
0.08,0.02,0.02,0.18,9,0.20989559691330004
0.12,0.06,0.08,0.26,9,0.20989559691330004
0.18,0.08,0.06,0.18,9,0.20989559691330004
0.1,0.06,0.08,0.22,9,0.20989559691330004
0.04,0.12,0.12,0.24,9,0.20989559691330004
0.1,0.08,0.1,0.26,9,0.20989559691330004
0.1,0.02,0.04,0.24,9,0.20989559691330004
