base,extra,test,majority,num_classes,majority_all
0.558,0.536,0.474,0.526,2,0.5186701999518188
0.548,0.52,0.518,0.518,2,0.5186701999518188
0.594,0.588,0.596,0.536,2,0.5186701999518188
0.496,0.49,0.498,0.516,2,0.5186701999518188
0.568,0.448,0.482,0.552,2,0.5186701999518188
0.53,0.604,0.502,0.5,2,0.5186701999518188
0.462,0.506,0.484,0.546,2,0.5186701999518188
0.634,0.532,0.526,0.522,2,0.5186701999518188
0.566,0.57,0.53,0.532,2,0.5186701999518188
0.614,0.538,0.524,0.5,2,0.5186701999518188
0.54,0.49,0.526,0.51,2,0.5186701999518188
0.548,0.492,0.61,0.508,2,0.5186701999518188
0.574,0.588,0.54,0.518,2,0.5186701999518188
0.616,0.638,0.646,0.552,2,0.5186701999518188
0.6,0.598,0.63,0.524,2,0.5186701999518188
0.612,0.588,0.606,0.512,2,0.5186701999518188
0.616,0.496,0.654,0.518,2,0.5186701999518188
0.528,0.538,0.584,0.52,2,0.5186701999518188
0.594,0.472,0.486,0.528,2,0.5186701999518188
0.542,0.61,0.498,0.502,2,0.5186701999518188
