base,extra,test,majority,num_classes,majority_all
0.884,0.798,0.818,0.902,2,0.8946
0.864,0.636,0.922,0.938,2,0.8946
0.842,0.814,0.81,0.888,2,0.8946
0.86,0.806,0.874,0.878,2,0.8946
0.87,0.52,0.818,0.898,2,0.8946
0.788,0.64,0.82,0.884,2,0.8946
0.876,0.868,0.848,0.902,2,0.8946
0.87,0.89,0.854,0.878,2,0.8946
0.862,0.694,0.638,0.908,2,0.8946
0.83,0.684,0.772,0.908,2,0.8946
0.864,0.856,0.656,0.908,2,0.8946
0.898,0.546,0.432,0.914,2,0.8946
0.83,0.91,0.89,0.904,2,0.8946
0.792,0.784,0.804,0.91,2,0.8946
0.884,0.648,0.748,0.896,2,0.8946
0.898,0.926,0.88,0.906,2,0.8946
0.79,0.848,0.856,0.898,2,0.8946
0.922,0.904,0.806,0.89,2,0.8946
0.888,0.774,0.846,0.904,2,0.8946
0.856,0.892,0.778,0.918,2,0.8946
