base,extra,test,majority,num_classes,majority_all
0.876,0.79,0.864,0.648,2,0.6288525638098716
0.852,0.868,0.818,0.642,2,0.6288525638098716
0.888,0.876,0.86,0.624,2,0.6288525638098716
0.846,0.888,0.864,0.624,2,0.6288525638098716
0.86,0.848,0.832,0.656,2,0.6288525638098716
0.83,0.868,0.848,0.604,2,0.6288525638098716
0.824,0.826,0.828,0.664,2,0.6288525638098716
0.888,0.882,0.86,0.646,2,0.6288525638098716
0.838,0.838,0.858,0.632,2,0.6288525638098716
0.876,0.886,0.88,0.63,2,0.6288525638098716
0.866,0.876,0.856,0.634,2,0.6288525638098716
0.856,0.844,0.856,0.62,2,0.6288525638098716
0.828,0.836,0.85,0.644,2,0.6288525638098716
0.852,0.842,0.814,0.598,2,0.6288525638098716
0.838,0.856,0.848,0.638,2,0.6288525638098716
0.836,0.864,0.848,0.648,2,0.6288525638098716
0.834,0.836,0.854,0.638,2,0.6288525638098716
0.846,0.876,0.86,0.612,2,0.6288525638098716
0.828,0.864,0.868,0.618,2,0.6288525638098716
0.874,0.876,0.854,0.624,2,0.6288525638098716
