base,extra,test,majority,num_classes,majority_all
0.166,0.144,0.18,0.24,6,0.2479512102153611
0.172,0.15,0.236,0.252,6,0.2479512102153611
0.13,0.196,0.246,0.258,6,0.2479512102153611
0.274,0.422,0.236,0.266,6,0.2479512102153611
0.166,0.344,0.29,0.246,6,0.2479512102153611
0.136,0.406,0.364,0.262,6,0.2479512102153611
0.14,0.356,0.24,0.236,6,0.2479512102153611
0.148,0.392,0.146,0.252,6,0.2479512102153611
0.126,0.256,0.476,0.226,6,0.2479512102153611
0.202,0.36,0.126,0.236,6,0.2479512102153611
0.124,0.114,0.286,0.252,6,0.2479512102153611
0.136,0.296,0.488,0.248,6,0.2479512102153611
0.184,0.14,0.218,0.24,6,0.2479512102153611
0.18,0.254,0.142,0.226,6,0.2479512102153611
0.182,0.132,0.13,0.256,6,0.2479512102153611
0.12,0.54,0.238,0.26,6,0.2479512102153611
0.188,0.126,0.242,0.26,6,0.2479512102153611
0.19,0.546,0.276,0.242,6,0.2479512102153611
0.168,0.276,0.388,0.266,6,0.2479512102153611
0.14,0.16,0.174,0.242,6,0.2479512102153611
