base,extra,test,majority,num_classes,majority_all
0.874,0.894,0.878,0.53,2,0.5096165973010468
0.79,0.892,0.888,0.524,2,0.5096165973010468
0.84,0.898,0.846,0.504,2,0.5096165973010468
0.784,0.83,0.834,0.55,2,0.5096165973010468
0.828,0.894,0.892,0.518,2,0.5096165973010468
0.854,0.894,0.918,0.524,2,0.5096165973010468
0.828,0.834,0.808,0.512,2,0.5096165973010468
0.784,0.9,0.92,0.532,2,0.5096165973010468
0.81,0.838,0.804,0.502,2,0.5096165973010468
0.822,0.922,0.902,0.522,2,0.5096165973010468
0.7,0.794,0.784,0.53,2,0.5096165973010468
0.88,0.926,0.958,0.524,2,0.5096165973010468
0.836,0.924,0.908,0.504,2,0.5096165973010468
0.88,0.89,0.882,0.52,2,0.5096165973010468
0.782,0.832,0.836,0.502,2,0.5096165973010468
0.816,0.898,0.904,0.514,2,0.5096165973010468
0.898,0.778,0.768,0.502,2,0.5096165973010468
0.798,0.828,0.86,0.512,2,0.5096165973010468
0.878,0.84,0.854,0.54,2,0.5096165973010468
0.81,0.97,0.936,0.512,2,0.5096165973010468
