base,extra,test,majority,num_classes,majority_all
0.72,0.73,0.706,0.624,3,0.6143992932862191
0.714,0.73,0.734,0.66,3,0.6143992932862191
0.754,0.72,0.786,0.628,3,0.6143992932862191
0.772,0.68,0.658,0.622,3,0.6143992932862191
0.78,0.66,0.716,0.604,3,0.6143992932862191
0.682,0.678,0.626,0.646,3,0.6143992932862191
0.738,0.694,0.806,0.624,3,0.6143992932862191
0.692,0.752,0.69,0.63,3,0.6143992932862191
0.748,0.82,0.676,0.624,3,0.6143992932862191
0.732,0.652,0.676,0.636,3,0.6143992932862191
0.558,0.552,0.652,0.64,3,0.6143992932862191
0.8,0.746,0.732,0.646,3,0.6143992932862191
0.732,0.714,0.748,0.674,3,0.6143992932862191
0.722,0.396,0.706,0.642,3,0.6143992932862191
0.764,0.75,0.71,0.596,3,0.6143992932862191
0.682,0.704,0.672,0.616,3,0.6143992932862191
0.656,0.498,0.696,0.66,3,0.6143992932862191
0.688,0.654,0.63,0.646,3,0.6143992932862191
0.764,0.756,0.686,0.63,3,0.6143992932862191
0.778,0.7,0.778,0.646,3,0.6143992932862191
