base,extra,test,majority,num_classes,majority_all
0.58,0.636,0.588,0.524,2,0.5
0.658,0.662,0.652,0.502,2,0.5
0.604,0.546,0.56,0.526,2,0.5
0.618,0.616,0.634,0.526,2,0.5
0.638,0.68,0.642,0.512,2,0.5
0.66,0.664,0.638,0.522,2,0.5
0.614,0.502,0.592,0.52,2,0.5
0.678,0.692,0.626,0.508,2,0.5
0.654,0.64,0.66,0.528,2,0.5
0.672,0.66,0.618,0.51,2,0.5
0.632,0.632,0.63,0.502,2,0.5
0.624,0.66,0.598,0.546,2,0.5
0.656,0.668,0.504,0.53,2,0.5
0.642,0.56,0.624,0.524,2,0.5
0.658,0.596,0.522,0.516,2,0.5
0.674,0.608,0.588,0.516,2,0.5
0.672,0.62,0.622,0.53,2,0.5
0.634,0.632,0.624,0.528,2,0.5
0.562,0.616,0.558,0.508,2,0.5
0.566,0.658,0.524,0.51,2,0.5
