base,extra,test,majority,num_classes,majority_all
0.712,0.706,0.686,0.634,2,0.6222674986204847
0.682,0.742,0.748,0.63,2,0.6222674986204847
0.684,0.742,0.734,0.628,2,0.6222674986204847
0.684,0.684,0.736,0.608,2,0.6222674986204847
0.688,0.744,0.742,0.656,2,0.6222674986204847
0.728,0.72,0.73,0.612,2,0.6222674986204847
0.68,0.696,0.698,0.614,2,0.6222674986204847
0.73,0.748,0.734,0.63,2,0.6222674986204847
0.72,0.77,0.732,0.632,2,0.6222674986204847
0.672,0.682,0.684,0.604,2,0.6222674986204847
0.744,0.746,0.742,0.582,2,0.6222674986204847
0.782,0.806,0.762,0.626,2,0.6222674986204847
0.696,0.732,0.73,0.608,2,0.6222674986204847
0.736,0.738,0.762,0.638,2,0.6222674986204847
0.69,0.7,0.684,0.596,2,0.6222674986204847
0.702,0.682,0.728,0.63,2,0.6222674986204847
0.672,0.69,0.666,0.622,2,0.6222674986204847
0.742,0.75,0.77,0.606,2,0.6222674986204847
0.686,0.74,0.772,0.638,2,0.6222674986204847
0.708,0.732,0.726,0.646,2,0.6222674986204847
