base,extra,test,majority,num_classes,majority_all
0.546,0.514,0.506,0.512,2,0.5
0.51,0.49,0.49,0.51,2,0.5
0.504,0.496,0.496,0.504,2,0.5
0.626,0.524,0.538,0.512,2,0.5
0.484,0.528,0.56,0.516,2,0.5
0.514,0.496,0.514,0.514,2,0.5
0.532,0.486,0.486,0.516,2,0.5
0.512,0.486,0.492,0.512,2,0.5
0.502,0.5,0.504,0.502,2,0.5
0.59,0.51,0.508,0.512,2,0.5
0.484,0.522,0.556,0.516,2,0.5
0.584,0.476,0.476,0.524,2,0.5
0.594,0.494,0.502,0.502,2,0.5
0.562,0.546,0.554,0.546,2,0.5
0.46,0.54,0.54,0.54,2,0.5
0.506,0.502,0.496,0.506,2,0.5
0.534,0.526,0.526,0.522,2,0.5
0.528,0.514,0.514,0.512,2,0.5
0.61,0.508,0.508,0.508,2,0.5
0.564,0.546,0.548,0.546,2,0.5
