base,extra,test,majority,num_classes,majority_all
0.334,0.412,0.454,0.16,11,0.13959277462181655
0.326,0.622,0.694,0.162,11,0.13959277462181655
0.334,0.49,0.288,0.144,11,0.13959277462181655
0.476,0.698,0.316,0.128,11,0.13959277462181655
0.32,0.6,0.48,0.17,11,0.13959277462181655
0.23,0.374,0.552,0.164,11,0.13959277462181655
0.36,0.562,0.326,0.136,11,0.13959277462181655
0.274,0.638,0.284,0.148,11,0.13959277462181655
0.172,0.396,0.318,0.144,11,0.13959277462181655
0.182,0.612,0.7,0.152,11,0.13959277462181655
0.184,0.56,0.68,0.14,11,0.13959277462181655
0.214,0.602,0.634,0.136,11,0.13959277462181655
0.278,0.69,0.526,0.17,11,0.13959277462181655
0.196,0.496,0.496,0.166,11,0.13959277462181655
0.33,0.498,0.754,0.152,11,0.13959277462181655
0.284,0.512,0.572,0.138,11,0.13959277462181655
0.324,0.768,0.464,0.15,11,0.13959277462181655
0.2,0.526,0.604,0.146,11,0.13959277462181655
0.194,0.598,0.486,0.138,11,0.13959277462181655
0.31,0.57,0.572,0.176,11,0.13959277462181655
