base,extra,test,majority,num_classes,majority_all
0.652,0.738,0.618,0.504,2,0.5
0.626,0.61,0.71,0.522,2,0.5
0.76,0.806,0.814,0.506,2,0.5
0.74,0.832,0.644,0.506,2,0.5
0.672,0.714,0.74,0.51,2,0.5
0.664,0.736,0.56,0.53,2,0.5
0.69,0.616,0.736,0.508,2,0.5
0.692,0.678,0.69,0.51,2,0.5
0.576,0.742,0.694,0.506,2,0.5
0.548,0.782,0.688,0.514,2,0.5
0.642,0.812,0.716,0.516,2,0.5
0.724,0.814,0.728,0.512,2,0.5
0.618,0.716,0.634,0.53,2,0.5
0.736,0.628,0.832,0.56,2,0.5
0.682,0.776,0.514,0.53,2,0.5
0.58,0.782,0.522,0.504,2,0.5
0.63,0.71,0.798,0.526,2,0.5
0.69,0.722,0.776,0.522,2,0.5
0.69,0.774,0.784,0.548,2,0.5
0.614,0.718,0.786,0.514,2,0.5
