base,extra,test,majority,num_classes,majority_all
0.634,0.598,0.548,0.462,4,0.4574165423884364
0.478,0.646,0.662,0.482,4,0.4574165423884364
0.594,0.686,0.672,0.482,4,0.4574165423884364
0.57,0.734,0.664,0.488,4,0.4574165423884364
0.634,0.596,0.534,0.406,4,0.4574165423884364
0.63,0.724,0.512,0.432,4,0.4574165423884364
0.668,0.726,0.564,0.488,4,0.4574165423884364
0.634,0.626,0.604,0.438,4,0.4574165423884364
0.654,0.68,0.746,0.492,4,0.4574165423884364
0.65,0.518,0.576,0.444,4,0.4574165423884364
0.608,0.516,0.666,0.45,4,0.4574165423884364
0.532,0.614,0.61,0.452,4,0.4574165423884364
0.59,0.666,0.672,0.468,4,0.4574165423884364
0.604,0.702,0.652,0.442,4,0.4574165423884364
0.568,0.666,0.586,0.44,4,0.4574165423884364
0.606,0.69,0.58,0.446,4,0.4574165423884364
0.674,0.676,0.692,0.46,4,0.4574165423884364
0.502,0.67,0.684,0.424,4,0.4574165423884364
0.638,0.688,0.498,0.474,4,0.4574165423884364
0.678,0.58,0.668,0.43,4,0.4574165423884364
