base,extra,test,majority,num_classes,majority_all
0.532,0.56,0.566,0.526,2,0.5186701999518188
0.516,0.544,0.558,0.518,2,0.5186701999518188
0.55,0.526,0.54,0.536,2,0.5186701999518188
0.532,0.6,0.59,0.516,2,0.5186701999518188
0.54,0.548,0.56,0.552,2,0.5186701999518188
0.542,0.586,0.566,0.5,2,0.5186701999518188
0.5,0.552,0.544,0.546,2,0.5186701999518188
0.616,0.55,0.526,0.522,2,0.5186701999518188
0.528,0.57,0.582,0.532,2,0.5186701999518188
0.512,0.536,0.528,0.5,2,0.5186701999518188
0.52,0.57,0.554,0.51,2,0.5186701999518188
0.578,0.55,0.568,0.508,2,0.5186701999518188
0.498,0.55,0.534,0.518,2,0.5186701999518188
0.522,0.578,0.558,0.552,2,0.5186701999518188
0.506,0.562,0.556,0.524,2,0.5186701999518188
0.536,0.57,0.56,0.512,2,0.5186701999518188
0.554,0.548,0.524,0.518,2,0.5186701999518188
0.542,0.572,0.55,0.52,2,0.5186701999518188
0.548,0.55,0.564,0.528,2,0.5186701999518188
0.5,0.554,0.542,0.502,2,0.5186701999518188
