base,extra,test,majority,num_classes,majority_all
0.826,0.892,0.892,0.452,3,0.4950914982844072
0.782,0.86,0.866,0.502,3,0.4950914982844072
0.8,0.912,0.912,0.494,3,0.4950914982844072
0.774,0.88,0.872,0.486,3,0.4950914982844072
0.77,0.872,0.88,0.506,3,0.4950914982844072
0.824,0.878,0.88,0.462,3,0.4950914982844072
0.812,0.86,0.872,0.542,3,0.4950914982844072
0.856,0.866,0.876,0.482,3,0.4950914982844072
0.82,0.898,0.902,0.486,3,0.4950914982844072
0.82,0.87,0.866,0.46,3,0.4950914982844072
0.864,0.908,0.91,0.46,3,0.4950914982844072
0.83,0.878,0.886,0.502,3,0.4950914982844072
0.806,0.906,0.91,0.498,3,0.4950914982844072
0.832,0.906,0.898,0.46,3,0.4950914982844072
0.83,0.858,0.85,0.49,3,0.4950914982844072
0.792,0.878,0.87,0.458,3,0.4950914982844072
0.868,0.9,0.884,0.488,3,0.4950914982844072
0.802,0.878,0.882,0.498,3,0.4950914982844072
0.816,0.894,0.902,0.488,3,0.4950914982844072
0.83,0.882,0.896,0.484,3,0.4950914982844072
