base,extra,test,majority,num_classes,majority_all
0.056,0.078,0.072,0.138,18,0.1466041340976203
0.066,0.078,0.08,0.176,18,0.1466041340976203
0.056,0.09,0.088,0.13,18,0.1466041340976203
0.072,0.082,0.092,0.116,18,0.1466041340976203
0.064,0.072,0.072,0.166,18,0.1466041340976203
0.052,0.074,0.056,0.154,18,0.1466041340976203
0.118,0.1,0.072,0.146,18,0.1466041340976203
0.088,0.074,0.088,0.136,18,0.1466041340976203
0.094,0.082,0.09,0.132,18,0.1466041340976203
0.058,0.072,0.062,0.162,18,0.1466041340976203
0.078,0.08,0.054,0.178,18,0.1466041340976203
0.078,0.09,0.068,0.142,18,0.1466041340976203
0.06,0.062,0.05,0.15,18,0.1466041340976203
0.08,0.092,0.068,0.134,18,0.1466041340976203
0.07,0.07,0.076,0.16,18,0.1466041340976203
0.052,0.058,0.064,0.148,18,0.1466041340976203
0.088,0.076,0.08,0.154,18,0.1466041340976203
0.068,0.072,0.058,0.146,18,0.1466041340976203
0.112,0.066,0.086,0.168,18,0.1466041340976203
0.062,0.07,0.062,0.152,18,0.1466041340976203
