base,extra,test,majority,num_classes,majority_all
0.556,0.496,0.494,0.462,4,0.4574165423884364
0.38,0.452,0.47,0.482,4,0.4574165423884364
0.4,0.47,0.446,0.482,4,0.4574165423884364
0.42,0.448,0.448,0.488,4,0.4574165423884364
0.508,0.508,0.548,0.406,4,0.4574165423884364
0.474,0.502,0.466,0.432,4,0.4574165423884364
0.422,0.498,0.462,0.488,4,0.4574165423884364
0.432,0.496,0.494,0.438,4,0.4574165423884364
0.46,0.554,0.556,0.492,4,0.4574165423884364
0.47,0.502,0.49,0.444,4,0.4574165423884364
0.376,0.462,0.45,0.45,4,0.4574165423884364
0.452,0.44,0.474,0.452,4,0.4574165423884364
0.524,0.546,0.56,0.468,4,0.4574165423884364
0.49,0.516,0.504,0.442,4,0.4574165423884364
0.476,0.54,0.514,0.44,4,0.4574165423884364
0.522,0.498,0.522,0.446,4,0.4574165423884364
0.512,0.516,0.454,0.46,4,0.4574165423884364
0.53,0.608,0.57,0.424,4,0.4574165423884364
0.464,0.526,0.496,0.474,4,0.4574165423884364
0.52,0.514,0.484,0.43,4,0.4574165423884364
