base,extra,test,majority,num_classes,majority_all
0.246,0.214,0.232,0.218,5,0.2
0.278,0.2,0.198,0.222,5,0.2
0.214,0.202,0.212,0.22,5,0.2
0.232,0.252,0.236,0.224,5,0.2
0.25,0.19,0.206,0.236,5,0.2
0.232,0.212,0.214,0.252,5,0.2
0.28,0.23,0.226,0.246,5,0.2
0.272,0.262,0.264,0.224,5,0.2
0.264,0.218,0.222,0.234,5,0.2
0.234,0.252,0.276,0.212,5,0.2
0.228,0.23,0.234,0.228,5,0.2
0.258,0.238,0.218,0.222,5,0.2
0.238,0.206,0.214,0.21,5,0.2
0.22,0.19,0.178,0.226,5,0.2
0.26,0.194,0.206,0.206,5,0.2
0.234,0.208,0.184,0.222,5,0.2
0.258,0.2,0.218,0.22,5,0.2
0.238,0.226,0.214,0.216,5,0.2
0.31,0.234,0.23,0.22,5,0.2
0.288,0.166,0.17,0.214,5,0.2
