base,extra,test,majority,num_classes,majority_all
0.78,0.91,0.84,0.3,4,0.25
0.76,0.82,0.84,0.39,4,0.25
0.69,0.78,0.82,0.35,4,0.25
0.75,0.77,0.78,0.26,4,0.25
0.8,0.85,0.87,0.3,4,0.25
0.77,0.84,0.86,0.36,4,0.25
0.83,0.84,0.84,0.31,4,0.25
0.82,0.9,0.86,0.29,4,0.25
0.83,0.75,0.81,0.27,4,0.25
0.79,0.82,0.8,0.28,4,0.25
0.71,0.85,0.83,0.32,4,0.25
0.83,0.84,0.89,0.29,4,0.25
0.85,0.87,0.86,0.35,4,0.25
0.76,0.81,0.84,0.32,4,0.25
0.81,0.79,0.82,0.33,4,0.25
0.78,0.82,0.83,0.26,4,0.25
0.78,0.84,0.82,0.29,4,0.25
0.79,0.85,0.83,0.29,4,0.25
0.83,0.83,0.87,0.37,4,0.25
0.81,0.83,0.83,0.39,4,0.25
0.88,0.9,0.89,0.33,4,0.25
0.85,0.9,0.85,0.33,4,0.25
0.84,0.75,0.79,0.29,4,0.25
0.67,0.7,0.78,0.34,4,0.25
0.77,0.79,0.89,0.3,4,0.25
0.75,0.81,0.79,0.32,4,0.25
0.76,0.79,0.82,0.28,4,0.25
0.74,0.85,0.82,0.32,4,0.25
0.78,0.86,0.87,0.29,4,0.25
0.81,0.86,0.85,0.3,4,0.25
0.86,0.9,0.87,0.28,4,0.25
0.79,0.81,0.78,0.3,4,0.25
0.84,0.86,0.84,0.32,4,0.25
0.76,0.84,0.81,0.29,4,0.25
0.85,0.86,0.86,0.27,4,0.25
0.7,0.83,0.9,0.33,4,0.25
0.83,0.87,0.84,0.29,4,0.25
0.77,0.87,0.84,0.29,4,0.25
0.87,0.88,0.87,0.28,4,0.25
0.86,0.91,0.88,0.29,4,0.25
0.79,0.85,0.9,0.31,4,0.25
0.78,0.81,0.86,0.3,4,0.25
0.84,0.88,0.92,0.29,4,0.25
0.88,0.9,0.81,0.3,4,0.25
0.83,0.85,0.88,0.27,4,0.25
0.77,0.79,0.78,0.28,4,0.25
0.82,0.86,0.83,0.3,4,0.25
0.76,0.87,0.88,0.3,4,0.25
0.76,0.9,0.84,0.3,4,0.25
0.78,0.85,0.85,0.33,4,0.25
0.68,0.85,0.8,0.27,4,0.25
0.69,0.73,0.71,0.3,4,0.25
0.81,0.81,0.81,0.28,4,0.25
0.88,0.84,0.86,0.28,4,0.25
0.84,0.87,0.88,0.35,4,0.25
0.84,0.81,0.84,0.29,4,0.25
0.86,0.82,0.84,0.27,4,0.25
0.77,0.75,0.79,0.3,4,0.25
0.87,0.92,0.92,0.32,4,0.25
0.78,0.81,0.83,0.31,4,0.25
0.8,0.88,0.81,0.27,4,0.25
0.84,0.87,0.89,0.28,4,0.25
0.83,0.83,0.82,0.34,4,0.25
0.75,0.85,0.86,0.28,4,0.25
0.72,0.95,0.92,0.31,4,0.25
0.8,0.81,0.78,0.32,4,0.25
0.8,0.85,0.85,0.28,4,0.25
0.86,0.89,0.91,0.29,4,0.25
0.83,0.85,0.86,0.31,4,0.25
0.88,0.84,0.85,0.31,4,0.25
0.79,0.83,0.81,0.34,4,0.25
0.77,0.82,0.82,0.28,4,0.25
0.87,0.85,0.88,0.32,4,0.25
0.86,0.9,0.9,0.27,4,0.25
0.88,0.87,0.86,0.32,4,0.25
0.84,0.81,0.79,0.29,4,0.25
0.87,0.89,0.87,0.28,4,0.25
0.77,0.81,0.84,0.31,4,0.25
0.78,0.88,0.86,0.3,4,0.25
0.82,0.91,0.84,0.33,4,0.25
0.83,0.88,0.89,0.28,4,0.25
0.85,0.82,0.9,0.3,4,0.25
0.68,0.82,0.86,0.29,4,0.25
0.77,0.86,0.88,0.26,4,0.25
0.77,0.91,0.9,0.29,4,0.25
0.76,0.83,0.82,0.3,4,0.25
0.82,0.89,0.9,0.37,4,0.25
0.8,0.84,0.85,0.29,4,0.25
0.62,0.85,0.82,0.3,4,0.25
0.85,0.84,0.89,0.32,4,0.25
0.87,0.88,0.89,0.32,4,0.25
0.8,0.88,0.9,0.3,4,0.25
0.74,0.79,0.83,0.27,4,0.25
0.84,0.91,0.9,0.39,4,0.25
0.8,0.85,0.82,0.29,4,0.25
0.83,0.86,0.87,0.33,4,0.25
0.71,0.82,0.81,0.27,4,0.25
0.71,0.83,0.82,0.29,4,0.25
0.82,0.85,0.87,0.29,4,0.25
0.85,0.87,0.85,0.28,4,0.25
