base,extra,test,majority,num_classes,majority_all
0.65,0.64,0.69,0.57,2,0.6222674986204847
0.69,0.7,0.68,0.53,2,0.6222674986204847
0.77,0.72,0.76,0.67,2,0.6222674986204847
0.76,0.77,0.73,0.6,2,0.6222674986204847
0.65,0.69,0.68,0.61,2,0.6222674986204847
0.68,0.71,0.72,0.64,2,0.6222674986204847
0.75,0.73,0.73,0.61,2,0.6222674986204847
0.72,0.74,0.73,0.61,2,0.6222674986204847
0.72,0.69,0.69,0.6,2,0.6222674986204847
0.73,0.73,0.74,0.67,2,0.6222674986204847
0.77,0.8,0.77,0.58,2,0.6222674986204847
0.78,0.81,0.8,0.66,2,0.6222674986204847
0.79,0.78,0.75,0.62,2,0.6222674986204847
0.74,0.76,0.75,0.62,2,0.6222674986204847
0.73,0.71,0.74,0.64,2,0.6222674986204847
0.68,0.66,0.72,0.61,2,0.6222674986204847
0.7,0.67,0.65,0.64,2,0.6222674986204847
0.76,0.74,0.68,0.58,2,0.6222674986204847
0.67,0.66,0.65,0.65,2,0.6222674986204847
0.75,0.82,0.8,0.67,2,0.6222674986204847
0.65,0.7,0.68,0.61,2,0.6222674986204847
0.66,0.67,0.66,0.63,2,0.6222674986204847
0.68,0.67,0.66,0.67,2,0.6222674986204847
0.69,0.74,0.72,0.64,2,0.6222674986204847
0.69,0.76,0.74,0.6,2,0.6222674986204847
0.69,0.7,0.69,0.56,2,0.6222674986204847
0.71,0.69,0.73,0.69,2,0.6222674986204847
0.69,0.65,0.67,0.6,2,0.6222674986204847
0.79,0.77,0.81,0.65,2,0.6222674986204847
0.69,0.66,0.6,0.63,2,0.6222674986204847
0.7,0.72,0.7,0.61,2,0.6222674986204847
0.77,0.76,0.77,0.68,2,0.6222674986204847
0.64,0.68,0.69,0.61,2,0.6222674986204847
0.65,0.66,0.61,0.6,2,0.6222674986204847
0.68,0.68,0.72,0.67,2,0.6222674986204847
0.76,0.69,0.71,0.58,2,0.6222674986204847
0.71,0.64,0.62,0.69,2,0.6222674986204847
0.7,0.67,0.73,0.59,2,0.6222674986204847
0.76,0.72,0.7,0.54,2,0.6222674986204847
0.66,0.69,0.73,0.73,2,0.6222674986204847
0.72,0.76,0.66,0.65,2,0.6222674986204847
0.74,0.74,0.76,0.61,2,0.6222674986204847
0.76,0.72,0.72,0.56,2,0.6222674986204847
0.66,0.67,0.66,0.56,2,0.6222674986204847
0.67,0.73,0.74,0.63,2,0.6222674986204847
0.7,0.75,0.8,0.61,2,0.6222674986204847
0.69,0.67,0.71,0.54,2,0.6222674986204847
0.75,0.71,0.7,0.51,2,0.6222674986204847
0.79,0.74,0.73,0.69,2,0.6222674986204847
0.75,0.74,0.7,0.54,2,0.6222674986204847
0.76,0.76,0.73,0.67,2,0.6222674986204847
0.72,0.72,0.77,0.67,2,0.6222674986204847
0.74,0.73,0.72,0.63,2,0.6222674986204847
0.74,0.7,0.8,0.51,2,0.6222674986204847
0.69,0.7,0.74,0.64,2,0.6222674986204847
0.77,0.73,0.66,0.64,2,0.6222674986204847
0.72,0.7,0.66,0.6,2,0.6222674986204847
0.77,0.72,0.69,0.64,2,0.6222674986204847
0.79,0.72,0.71,0.68,2,0.6222674986204847
0.74,0.73,0.7,0.56,2,0.6222674986204847
0.65,0.63,0.68,0.58,2,0.6222674986204847
0.69,0.76,0.72,0.64,2,0.6222674986204847
0.64,0.61,0.66,0.62,2,0.6222674986204847
0.67,0.66,0.58,0.6,2,0.6222674986204847
0.72,0.74,0.73,0.56,2,0.6222674986204847
0.73,0.78,0.77,0.62,2,0.6222674986204847
0.68,0.67,0.68,0.56,2,0.6222674986204847
0.67,0.73,0.7,0.61,2,0.6222674986204847
0.71,0.68,0.73,0.57,2,0.6222674986204847
0.68,0.66,0.63,0.59,2,0.6222674986204847
0.72,0.74,0.75,0.62,2,0.6222674986204847
0.72,0.68,0.63,0.62,2,0.6222674986204847
0.72,0.76,0.72,0.67,2,0.6222674986204847
0.71,0.77,0.76,0.51,2,0.6222674986204847
0.62,0.55,0.61,0.68,2,0.6222674986204847
0.63,0.67,0.67,0.66,2,0.6222674986204847
0.73,0.75,0.76,0.61,2,0.6222674986204847
0.68,0.72,0.76,0.64,2,0.6222674986204847
0.73,0.71,0.74,0.51,2,0.6222674986204847
0.77,0.72,0.76,0.55,2,0.6222674986204847
0.63,0.66,0.67,0.62,2,0.6222674986204847
0.69,0.74,0.72,0.58,2,0.6222674986204847
0.71,0.66,0.63,0.6,2,0.6222674986204847
0.63,0.61,0.66,0.69,2,0.6222674986204847
0.73,0.74,0.78,0.64,2,0.6222674986204847
0.75,0.75,0.74,0.66,2,0.6222674986204847
0.74,0.65,0.74,0.68,2,0.6222674986204847
0.79,0.74,0.78,0.57,2,0.6222674986204847
0.78,0.74,0.78,0.62,2,0.6222674986204847
0.7,0.67,0.67,0.68,2,0.6222674986204847
0.66,0.63,0.72,0.57,2,0.6222674986204847
0.79,0.72,0.72,0.58,2,0.6222674986204847
0.63,0.68,0.66,0.51,2,0.6222674986204847
0.76,0.78,0.8,0.65,2,0.6222674986204847
0.75,0.72,0.68,0.62,2,0.6222674986204847
0.69,0.7,0.66,0.56,2,0.6222674986204847
0.63,0.77,0.74,0.69,2,0.6222674986204847
0.7,0.65,0.68,0.51,2,0.6222674986204847
0.75,0.78,0.84,0.63,2,0.6222674986204847
0.81,0.78,0.83,0.59,2,0.6222674986204847
