base,extra,test,majority,num_classes,majority_all
0.54,0.59,0.62,0.3,4,0.25
0.52,0.6,0.59,0.39,4,0.25
0.57,0.51,0.56,0.35,4,0.25
0.53,0.55,0.58,0.26,4,0.25
0.5,0.51,0.51,0.3,4,0.25
0.49,0.6,0.61,0.36,4,0.25
0.38,0.6,0.57,0.31,4,0.25
0.34,0.49,0.55,0.29,4,0.25
0.46,0.52,0.58,0.27,4,0.25
0.44,0.53,0.55,0.28,4,0.25
0.53,0.57,0.58,0.32,4,0.25
0.54,0.61,0.57,0.29,4,0.25
0.39,0.54,0.55,0.35,4,0.25
0.39,0.57,0.56,0.32,4,0.25
0.46,0.54,0.52,0.33,4,0.25
0.47,0.58,0.53,0.26,4,0.25
0.39,0.63,0.64,0.29,4,0.25
0.46,0.62,0.6,0.29,4,0.25
0.53,0.48,0.53,0.37,4,0.25
0.54,0.61,0.62,0.39,4,0.25
0.53,0.5,0.54,0.33,4,0.25
0.47,0.58,0.58,0.33,4,0.25
0.36,0.5,0.49,0.29,4,0.25
0.43,0.5,0.53,0.34,4,0.25
0.49,0.52,0.52,0.3,4,0.25
0.43,0.53,0.53,0.32,4,0.25
0.51,0.62,0.64,0.28,4,0.25
0.48,0.56,0.53,0.32,4,0.25
0.43,0.55,0.52,0.29,4,0.25
0.54,0.57,0.54,0.3,4,0.25
0.44,0.57,0.57,0.28,4,0.25
0.51,0.61,0.6,0.3,4,0.25
0.45,0.54,0.58,0.32,4,0.25
0.38,0.55,0.6,0.29,4,0.25
0.6,0.54,0.56,0.27,4,0.25
0.53,0.56,0.51,0.33,4,0.25
0.56,0.56,0.59,0.29,4,0.25
0.51,0.55,0.53,0.29,4,0.25
0.41,0.58,0.62,0.28,4,0.25
0.57,0.53,0.54,0.29,4,0.25
0.48,0.53,0.55,0.31,4,0.25
0.38,0.59,0.6,0.3,4,0.25
0.38,0.66,0.65,0.29,4,0.25
0.38,0.59,0.64,0.3,4,0.25
0.42,0.46,0.55,0.27,4,0.25
0.48,0.48,0.48,0.28,4,0.25
0.44,0.71,0.68,0.3,4,0.25
0.45,0.49,0.51,0.3,4,0.25
0.48,0.54,0.55,0.3,4,0.25
0.49,0.59,0.65,0.33,4,0.25
0.45,0.53,0.53,0.27,4,0.25
0.49,0.52,0.54,0.3,4,0.25
0.54,0.55,0.58,0.28,4,0.25
0.53,0.55,0.54,0.28,4,0.25
0.47,0.6,0.58,0.35,4,0.25
0.4,0.66,0.7,0.29,4,0.25
0.43,0.48,0.48,0.27,4,0.25
0.41,0.53,0.52,0.3,4,0.25
0.54,0.56,0.56,0.32,4,0.25
0.5,0.61,0.6,0.31,4,0.25
0.49,0.47,0.44,0.27,4,0.25
0.44,0.52,0.55,0.28,4,0.25
0.54,0.58,0.58,0.34,4,0.25
0.49,0.54,0.59,0.28,4,0.25
0.53,0.58,0.56,0.31,4,0.25
0.45,0.47,0.48,0.32,4,0.25
0.43,0.57,0.53,0.28,4,0.25
0.42,0.51,0.47,0.29,4,0.25
0.43,0.6,0.61,0.31,4,0.25
0.54,0.48,0.54,0.31,4,0.25
0.5,0.65,0.61,0.34,4,0.25
0.49,0.64,0.57,0.28,4,0.25
0.47,0.7,0.64,0.32,4,0.25
0.52,0.54,0.57,0.27,4,0.25
0.45,0.48,0.51,0.32,4,0.25
0.52,0.57,0.6,0.29,4,0.25
0.43,0.5,0.56,0.28,4,0.25
0.43,0.58,0.55,0.31,4,0.25
0.48,0.59,0.58,0.3,4,0.25
0.4,0.52,0.58,0.33,4,0.25
0.45,0.53,0.5,0.28,4,0.25
0.43,0.58,0.58,0.3,4,0.25
0.54,0.57,0.58,0.29,4,0.25
0.52,0.53,0.56,0.26,4,0.25
0.56,0.53,0.54,0.29,4,0.25
0.49,0.67,0.61,0.3,4,0.25
0.49,0.7,0.66,0.37,4,0.25
0.38,0.59,0.61,0.29,4,0.25
0.29,0.55,0.57,0.3,4,0.25
0.47,0.61,0.64,0.32,4,0.25
0.52,0.53,0.52,0.32,4,0.25
0.4,0.61,0.64,0.3,4,0.25
0.51,0.53,0.51,0.27,4,0.25
0.52,0.68,0.58,0.39,4,0.25
0.42,0.54,0.54,0.29,4,0.25
0.58,0.66,0.54,0.33,4,0.25
0.53,0.54,0.52,0.27,4,0.25
0.45,0.6,0.58,0.29,4,0.25
0.44,0.48,0.54,0.29,4,0.25
0.55,0.51,0.52,0.28,4,0.25
