base,extra,test,majority,num_classes,majority_all
0.5,0.48,0.46,0.64,2,0.5228141513929105
0.6,0.59,0.59,0.55,2,0.5228141513929105
0.5,0.56,0.55,0.51,2,0.5228141513929105
0.56,0.56,0.56,0.51,2,0.5228141513929105
0.51,0.55,0.54,0.51,2,0.5228141513929105
0.51,0.5,0.55,0.58,2,0.5228141513929105
0.56,0.44,0.49,0.5,2,0.5228141513929105
0.53,0.57,0.6,0.5,2,0.5228141513929105
0.54,0.55,0.52,0.6,2,0.5228141513929105
0.51,0.49,0.54,0.52,2,0.5228141513929105
0.55,0.55,0.52,0.5,2,0.5228141513929105
0.53,0.54,0.61,0.57,2,0.5228141513929105
0.63,0.61,0.59,0.5,2,0.5228141513929105
0.38,0.42,0.4,0.59,2,0.5228141513929105
0.55,0.54,0.56,0.53,2,0.5228141513929105
0.51,0.49,0.59,0.56,2,0.5228141513929105
0.51,0.54,0.51,0.54,2,0.5228141513929105
0.61,0.58,0.66,0.56,2,0.5228141513929105
0.52,0.5,0.52,0.51,2,0.5228141513929105
0.47,0.48,0.46,0.5,2,0.5228141513929105
0.59,0.46,0.57,0.5,2,0.5228141513929105
0.46,0.54,0.55,0.55,2,0.5228141513929105
0.58,0.52,0.57,0.56,2,0.5228141513929105
0.61,0.67,0.61,0.51,2,0.5228141513929105
0.41,0.44,0.44,0.58,2,0.5228141513929105
0.57,0.56,0.59,0.5,2,0.5228141513929105
0.53,0.52,0.53,0.52,2,0.5228141513929105
0.51,0.58,0.6,0.53,2,0.5228141513929105
0.55,0.53,0.52,0.54,2,0.5228141513929105
0.51,0.54,0.47,0.57,2,0.5228141513929105
0.56,0.57,0.53,0.54,2,0.5228141513929105
0.47,0.57,0.56,0.57,2,0.5228141513929105
0.54,0.56,0.54,0.56,2,0.5228141513929105
0.47,0.54,0.59,0.53,2,0.5228141513929105
0.54,0.45,0.56,0.52,2,0.5228141513929105
0.49,0.57,0.53,0.51,2,0.5228141513929105
0.51,0.48,0.57,0.51,2,0.5228141513929105
0.54,0.56,0.56,0.55,2,0.5228141513929105
0.6,0.58,0.55,0.52,2,0.5228141513929105
0.62,0.64,0.6,0.53,2,0.5228141513929105
0.57,0.5,0.57,0.53,2,0.5228141513929105
0.49,0.5,0.51,0.59,2,0.5228141513929105
0.55,0.5,0.54,0.52,2,0.5228141513929105
0.56,0.54,0.56,0.55,2,0.5228141513929105
0.5,0.46,0.51,0.53,2,0.5228141513929105
0.44,0.45,0.45,0.58,2,0.5228141513929105
0.55,0.51,0.49,0.56,2,0.5228141513929105
0.51,0.51,0.51,0.57,2,0.5228141513929105
0.47,0.44,0.47,0.51,2,0.5228141513929105
0.52,0.6,0.54,0.51,2,0.5228141513929105
0.47,0.49,0.51,0.51,2,0.5228141513929105
0.5,0.41,0.41,0.51,2,0.5228141513929105
0.49,0.51,0.47,0.61,2,0.5228141513929105
0.5,0.51,0.51,0.52,2,0.5228141513929105
0.46,0.46,0.44,0.55,2,0.5228141513929105
0.51,0.53,0.5,0.54,2,0.5228141513929105
0.55,0.55,0.55,0.53,2,0.5228141513929105
0.56,0.51,0.57,0.51,2,0.5228141513929105
0.49,0.54,0.61,0.6,2,0.5228141513929105
0.54,0.54,0.54,0.51,2,0.5228141513929105
0.51,0.56,0.52,0.51,2,0.5228141513929105
0.6,0.62,0.55,0.54,2,0.5228141513929105
0.62,0.5,0.56,0.56,2,0.5228141513929105
0.49,0.51,0.48,0.56,2,0.5228141513929105
0.55,0.52,0.59,0.51,2,0.5228141513929105
0.45,0.56,0.52,0.61,2,0.5228141513929105
0.64,0.62,0.56,0.52,2,0.5228141513929105
0.57,0.49,0.58,0.58,2,0.5228141513929105
0.53,0.53,0.48,0.51,2,0.5228141513929105
0.51,0.51,0.53,0.54,2,0.5228141513929105
0.54,0.48,0.54,0.55,2,0.5228141513929105
0.47,0.62,0.54,0.55,2,0.5228141513929105
0.54,0.49,0.51,0.55,2,0.5228141513929105
0.53,0.59,0.51,0.54,2,0.5228141513929105
0.56,0.55,0.43,0.55,2,0.5228141513929105
0.52,0.54,0.55,0.56,2,0.5228141513929105
0.5,0.51,0.49,0.55,2,0.5228141513929105
0.61,0.56,0.6,0.54,2,0.5228141513929105
0.51,0.49,0.53,0.51,2,0.5228141513929105
0.45,0.46,0.45,0.59,2,0.5228141513929105
0.5,0.54,0.57,0.5,2,0.5228141513929105
0.46,0.47,0.46,0.51,2,0.5228141513929105
0.58,0.58,0.53,0.56,2,0.5228141513929105
0.46,0.54,0.59,0.58,2,0.5228141513929105
0.55,0.61,0.55,0.53,2,0.5228141513929105
0.52,0.57,0.55,0.54,2,0.5228141513929105
0.5,0.57,0.51,0.52,2,0.5228141513929105
0.51,0.54,0.48,0.53,2,0.5228141513929105
0.66,0.63,0.66,0.52,2,0.5228141513929105
0.52,0.58,0.61,0.51,2,0.5228141513929105
0.56,0.57,0.56,0.52,2,0.5228141513929105
0.48,0.59,0.58,0.57,2,0.5228141513929105
0.46,0.49,0.44,0.51,2,0.5228141513929105
0.56,0.53,0.54,0.51,2,0.5228141513929105
0.54,0.53,0.53,0.55,2,0.5228141513929105
0.6,0.59,0.54,0.57,2,0.5228141513929105
0.44,0.5,0.5,0.51,2,0.5228141513929105
0.54,0.53,0.5,0.5,2,0.5228141513929105
0.54,0.42,0.57,0.52,2,0.5228141513929105
0.56,0.61,0.57,0.57,2,0.5228141513929105
