base,extra,test,majority,num_classes,majority_all
0.03,0.09,0.13,0.18,18,0.1466041340976203
0.06,0.11,0.12,0.19,18,0.1466041340976203
0.06,0.04,0.1,0.15,18,0.1466041340976203
0.06,0.1,0.09,0.09,18,0.1466041340976203
0.06,0.12,0.09,0.18,18,0.1466041340976203
0.01,0.1,0.1,0.15,18,0.1466041340976203
0.04,0.07,0.13,0.18,18,0.1466041340976203
0.08,0.1,0.08,0.2,18,0.1466041340976203
0.03,0.09,0.08,0.13,18,0.1466041340976203
0.06,0.13,0.07,0.14,18,0.1466041340976203
0.01,0.06,0.06,0.18,18,0.1466041340976203
0.03,0.07,0.09,0.16,18,0.1466041340976203
0.03,0.09,0.1,0.2,18,0.1466041340976203
0.02,0.07,0.07,0.13,18,0.1466041340976203
0.01,0.03,0.07,0.14,18,0.1466041340976203
0.04,0.06,0.05,0.18,18,0.1466041340976203
0.05,0.1,0.05,0.17,18,0.1466041340976203
0.05,0.04,0.07,0.16,18,0.1466041340976203
0.02,0.05,0.01,0.16,18,0.1466041340976203
0.04,0.05,0.04,0.14,18,0.1466041340976203
0.06,0.06,0.05,0.21,18,0.1466041340976203
0.03,0.14,0.09,0.18,18,0.1466041340976203
0.03,0.06,0.06,0.22,18,0.1466041340976203
0.08,0.12,0.11,0.19,18,0.1466041340976203
0.07,0.06,0.09,0.21,18,0.1466041340976203
0.02,0.08,0.1,0.19,18,0.1466041340976203
0.06,0.12,0.06,0.18,18,0.1466041340976203
0.06,0.03,0.07,0.17,18,0.1466041340976203
0.04,0.07,0.07,0.13,18,0.1466041340976203
0.07,0.1,0.11,0.24,18,0.1466041340976203
0.03,0.09,0.1,0.2,18,0.1466041340976203
0.1,0.06,0.09,0.12,18,0.1466041340976203
0.12,0.11,0.12,0.14,18,0.1466041340976203
0.05,0.07,0.09,0.16,18,0.1466041340976203
0.06,0.1,0.09,0.2,18,0.1466041340976203
0.03,0.07,0.09,0.15,18,0.1466041340976203
0.07,0.05,0.07,0.16,18,0.1466041340976203
0.04,0.05,0.04,0.2,18,0.1466041340976203
0.04,0.04,0.05,0.17,18,0.1466041340976203
0.08,0.03,0.07,0.16,18,0.1466041340976203
0.03,0.14,0.13,0.15,18,0.1466041340976203
0.04,0.07,0.07,0.24,18,0.1466041340976203
0.04,0.06,0.08,0.18,18,0.1466041340976203
0.04,0.09,0.07,0.15,18,0.1466041340976203
0.03,0.08,0.06,0.15,18,0.1466041340976203
0.03,0.08,0.12,0.15,18,0.1466041340976203
0.11,0.14,0.12,0.15,18,0.1466041340976203
0.03,0.1,0.13,0.14,18,0.1466041340976203
0.02,0.04,0.03,0.16,18,0.1466041340976203
0.08,0.12,0.06,0.1,18,0.1466041340976203
0.07,0.12,0.08,0.17,18,0.1466041340976203
0.04,0.08,0.13,0.17,18,0.1466041340976203
0.08,0.05,0.06,0.17,18,0.1466041340976203
0.01,0.06,0.08,0.2,18,0.1466041340976203
0.03,0.03,0.06,0.2,18,0.1466041340976203
0.02,0.08,0.1,0.15,18,0.1466041340976203
0.06,0.11,0.09,0.15,18,0.1466041340976203
0.05,0.09,0.05,0.16,18,0.1466041340976203
0.02,0.1,0.11,0.12,18,0.1466041340976203
0.06,0.11,0.08,0.14,18,0.1466041340976203
0.07,0.05,0.11,0.18,18,0.1466041340976203
0.03,0.06,0.07,0.16,18,0.1466041340976203
0.03,0.06,0.04,0.15,18,0.1466041340976203
0.02,0.05,0.06,0.13,18,0.1466041340976203
0.05,0.09,0.09,0.14,18,0.1466041340976203
0.04,0.15,0.08,0.19,18,0.1466041340976203
0.11,0.05,0.04,0.16,18,0.1466041340976203
0.05,0.08,0.09,0.19,18,0.1466041340976203
0.11,0.11,0.08,0.16,18,0.1466041340976203
0.06,0.03,0.05,0.2,18,0.1466041340976203
0.05,0.09,0.06,0.17,18,0.1466041340976203
0.08,0.07,0.11,0.15,18,0.1466041340976203
0.03,0.1,0.12,0.14,18,0.1466041340976203
0.05,0.08,0.12,0.22,18,0.1466041340976203
0.05,0.1,0.14,0.22,18,0.1466041340976203
0.05,0.11,0.13,0.16,18,0.1466041340976203
0.01,0.14,0.1,0.2,18,0.1466041340976203
0.05,0.11,0.08,0.15,18,0.1466041340976203
0.05,0.1,0.09,0.15,18,0.1466041340976203
0.03,0.08,0.12,0.15,18,0.1466041340976203
0.03,0.05,0.06,0.14,18,0.1466041340976203
0.05,0.07,0.1,0.18,18,0.1466041340976203
0.05,0.05,0.06,0.14,18,0.1466041340976203
0.05,0.03,0.09,0.16,18,0.1466041340976203
0.04,0.14,0.06,0.16,18,0.1466041340976203
0.06,0.09,0.06,0.19,18,0.1466041340976203
0.05,0.18,0.12,0.15,18,0.1466041340976203
0.04,0.06,0.08,0.16,18,0.1466041340976203
0.01,0.07,0.1,0.18,18,0.1466041340976203
0.02,0.07,0.06,0.16,18,0.1466041340976203
0.08,0.09,0.11,0.14,18,0.1466041340976203
0.03,0.02,0.07,0.15,18,0.1466041340976203
0.02,0.07,0.11,0.16,18,0.1466041340976203
0.04,0.09,0.09,0.13,18,0.1466041340976203
0.02,0.14,0.13,0.12,18,0.1466041340976203
0.04,0.09,0.05,0.12,18,0.1466041340976203
0.05,0.03,0.06,0.17,18,0.1466041340976203
0.02,0.03,0.07,0.16,18,0.1466041340976203
0.08,0.12,0.07,0.2,18,0.1466041340976203
0.06,0.07,0.06,0.16,18,0.1466041340976203
