base,extra,test,majority,num_classes,majority_all
0.89,0.855,0.875,0.895,2,0.8946
0.85,0.5,0.88,0.92,2,0.8946
0.86,0.86,0.815,0.9,2,0.8946
0.855,0.83,0.665,0.87,2,0.8946
0.88,0.905,0.81,0.895,2,0.8946
0.805,0.755,0.715,0.86,2,0.8946
0.86,0.865,0.86,0.91,2,0.8946
0.875,0.89,0.59,0.87,2,0.8946
0.835,0.59,0.565,0.895,2,0.8946
0.815,0.76,0.79,0.915,2,0.8946
0.86,0.38,0.8,0.91,2,0.8946
0.935,0.345,0.765,0.91,2,0.8946
0.85,0.87,0.79,0.915,2,0.8946
0.8,0.845,0.815,0.93,2,0.8946
0.905,0.795,0.865,0.89,2,0.8946
0.91,0.88,0.925,0.89,2,0.8946
0.84,0.855,0.935,0.88,2,0.8946
0.92,0.735,0.775,0.89,2,0.8946
0.9,0.68,0.81,0.91,2,0.8946
0.865,0.875,0.77,0.92,2,0.8946
0.875,0.8,0.815,0.895,2,0.8946
0.86,0.4,0.805,0.91,2,0.8946
0.85,0.765,0.76,0.905,2,0.8946
0.875,0.895,0.845,0.87,2,0.8946
0.895,0.825,0.69,0.915,2,0.8946
0.855,0.61,0.9,0.915,2,0.8946
0.93,0.83,0.84,0.91,2,0.8946
0.865,0.855,0.85,0.9,2,0.8946
0.835,0.675,0.8,0.895,2,0.8946
0.87,0.745,0.775,0.915,2,0.8946
0.88,0.885,0.885,0.905,2,0.8946
0.86,0.91,0.935,0.93,2,0.8946
0.865,0.865,0.865,0.93,2,0.8946
0.905,0.83,0.935,0.915,2,0.8946
0.835,0.835,0.79,0.895,2,0.8946
0.9,0.875,0.83,0.895,2,0.8946
0.875,0.705,0.805,0.88,2,0.8946
0.93,0.815,0.57,0.935,2,0.8946
0.885,0.705,0.665,0.875,2,0.8946
0.81,0.625,0.755,0.92,2,0.8946
0.82,0.84,0.805,0.905,2,0.8946
0.8,0.77,0.455,0.905,2,0.8946
0.86,0.86,0.87,0.885,2,0.8946
0.905,0.87,0.73,0.94,2,0.8946
0.765,0.6,0.725,0.905,2,0.8946
0.84,0.75,0.775,0.895,2,0.8946
0.885,0.59,0.83,0.9,2,0.8946
0.885,0.85,0.71,0.92,2,0.8946
0.745,0.815,0.805,0.92,2,0.8946
0.835,0.68,0.86,0.95,2,0.8946
