base,extra,test,majority,num_classes,majority_all
0.84,0.835,0.89,0.69,2,0.6288525638098716
0.87,0.84,0.85,0.655,2,0.6288525638098716
0.85,0.81,0.82,0.645,2,0.6288525638098716
0.825,0.865,0.87,0.595,2,0.6288525638098716
0.79,0.81,0.775,0.64,2,0.6288525638098716
0.795,0.815,0.835,0.61,2,0.6288525638098716
0.89,0.88,0.84,0.65,2,0.6288525638098716
0.865,0.865,0.885,0.64,2,0.6288525638098716
0.875,0.87,0.885,0.6,2,0.6288525638098716
0.9,0.895,0.905,0.63,2,0.6288525638098716
0.88,0.9,0.89,0.635,2,0.6288525638098716
0.885,0.915,0.885,0.67,2,0.6288525638098716
0.835,0.83,0.855,0.59,2,0.6288525638098716
0.835,0.855,0.86,0.6,2,0.6288525638098716
0.865,0.895,0.865,0.685,2,0.6288525638098716
0.835,0.83,0.85,0.615,2,0.6288525638098716
0.815,0.84,0.79,0.65,2,0.6288525638098716
0.875,0.86,0.83,0.595,2,0.6288525638098716
0.87,0.85,0.875,0.655,2,0.6288525638098716
0.885,0.9,0.905,0.64,2,0.6288525638098716
0.865,0.85,0.86,0.7,2,0.6288525638098716
0.855,0.855,0.765,0.655,2,0.6288525638098716
0.815,0.82,0.815,0.66,2,0.6288525638098716
0.84,0.845,0.815,0.635,2,0.6288525638098716
0.87,0.845,0.83,0.645,2,0.6288525638098716
0.81,0.82,0.81,0.655,2,0.6288525638098716
0.8,0.825,0.805,0.545,2,0.6288525638098716
0.82,0.845,0.84,0.64,2,0.6288525638098716
0.855,0.85,0.87,0.645,2,0.6288525638098716
0.815,0.835,0.83,0.665,2,0.6288525638098716
0.835,0.805,0.83,0.675,2,0.6288525638098716
0.82,0.825,0.81,0.675,2,0.6288525638098716
0.825,0.845,0.86,0.68,2,0.6288525638098716
0.825,0.805,0.785,0.635,2,0.6288525638098716
0.855,0.86,0.88,0.67,2,0.6288525638098716
0.85,0.87,0.855,0.635,2,0.6288525638098716
0.87,0.875,0.88,0.64,2,0.6288525638098716
0.835,0.86,0.855,0.625,2,0.6288525638098716
0.835,0.815,0.815,0.66,2,0.6288525638098716
0.885,0.86,0.875,0.69,2,0.6288525638098716
0.88,0.88,0.875,0.585,2,0.6288525638098716
0.865,0.87,0.875,0.635,2,0.6288525638098716
0.825,0.84,0.845,0.66,2,0.6288525638098716
0.85,0.86,0.845,0.71,2,0.6288525638098716
0.87,0.88,0.835,0.595,2,0.6288525638098716
0.855,0.815,0.86,0.63,2,0.6288525638098716
0.84,0.875,0.86,0.61,2,0.6288525638098716
0.83,0.83,0.845,0.595,2,0.6288525638098716
0.85,0.855,0.86,0.65,2,0.6288525638098716
0.835,0.845,0.835,0.64,2,0.6288525638098716
