base,extra,test,majority,num_classes,majority_all
0.57,0.56,0.64,0.54,2,0.5
0.685,0.565,0.665,0.525,2,0.5
0.575,0.57,0.665,0.505,2,0.5
0.625,0.56,0.62,0.55,2,0.5
0.685,0.61,0.63,0.515,2,0.5
0.61,0.665,0.56,0.53,2,0.5
0.645,0.595,0.65,0.54,2,0.5
0.67,0.64,0.59,0.505,2,0.5
0.695,0.7,0.525,0.53,2,0.5
0.685,0.615,0.645,0.54,2,0.5
0.6,0.715,0.54,0.54,2,0.5
0.635,0.635,0.655,0.575,2,0.5
0.68,0.705,0.695,0.535,2,0.5
0.625,0.55,0.55,0.505,2,0.5
0.695,0.57,0.58,0.505,2,0.5
0.68,0.605,0.625,0.545,2,0.5
0.645,0.54,0.605,0.515,2,0.5
0.66,0.595,0.58,0.54,2,0.5
0.6,0.53,0.675,0.535,2,0.5
0.575,0.695,0.615,0.54,2,0.5
0.64,0.665,0.625,0.505,2,0.5
0.65,0.6,0.655,0.505,2,0.5
0.605,0.63,0.565,0.515,2,0.5
0.61,0.67,0.645,0.525,2,0.5
0.61,0.635,0.65,0.555,2,0.5
0.67,0.655,0.66,0.53,2,0.5
0.65,0.62,0.64,0.505,2,0.5
0.59,0.695,0.62,0.52,2,0.5
0.62,0.595,0.665,0.58,2,0.5
0.58,0.615,0.625,0.565,2,0.5
0.58,0.605,0.645,0.545,2,0.5
0.65,0.63,0.545,0.515,2,0.5
0.64,0.505,0.54,0.535,2,0.5
0.665,0.535,0.56,0.52,2,0.5
0.625,0.585,0.58,0.535,2,0.5
0.725,0.655,0.525,0.56,2,0.5
0.665,0.63,0.655,0.535,2,0.5
0.635,0.655,0.585,0.505,2,0.5
0.615,0.6,0.595,0.56,2,0.5
0.545,0.63,0.61,0.51,2,0.5
0.69,0.655,0.59,0.51,2,0.5
0.625,0.57,0.61,0.51,2,0.5
0.6,0.635,0.685,0.54,2,0.5
0.645,0.68,0.71,0.51,2,0.5
0.605,0.54,0.65,0.56,2,0.5
0.64,0.61,0.635,0.525,2,0.5
0.67,0.62,0.64,0.53,2,0.5
0.61,0.6,0.56,0.53,2,0.5
0.62,0.625,0.655,0.505,2,0.5
0.63,0.64,0.615,0.505,2,0.5
