base,extra,test,majority,num_classes,majority_all
0.605,0.565,0.55,0.555,2,0.5
0.5,0.5,0.5,0.5,2,0.5
0.59,0.51,0.51,0.51,2,0.5
0.575,0.495,0.505,0.51,2,0.5
0.525,0.56,0.555,0.545,2,0.5
0.505,0.565,0.555,0.515,2,0.5
0.585,0.415,0.42,0.585,2,0.5
0.475,0.52,0.51,0.525,2,0.5
0.48,0.54,0.525,0.52,2,0.5
0.59,0.51,0.5,0.505,2,0.5
0.44,0.565,0.56,0.56,2,0.5
0.565,0.49,0.495,0.515,2,0.5
0.505,0.53,0.515,0.505,2,0.5
0.42,0.59,0.59,0.59,2,0.5
0.535,0.465,0.465,0.535,2,0.5
0.545,0.52,0.54,0.515,2,0.5
0.48,0.525,0.535,0.525,2,0.5
0.515,0.49,0.5,0.515,2,0.5
0.5,0.54,0.515,0.5,2,0.5
0.47,0.53,0.525,0.53,2,0.5
0.47,0.535,0.535,0.535,2,0.5
0.535,0.515,0.55,0.535,2,0.5
0.59,0.53,0.605,0.52,2,0.5
0.525,0.475,0.475,0.525,2,0.5
0.485,0.515,0.52,0.515,2,0.5
0.585,0.48,0.47,0.53,2,0.5
0.545,0.525,0.58,0.53,2,0.5
0.46,0.54,0.535,0.54,2,0.5
0.645,0.51,0.51,0.51,2,0.5
0.63,0.655,0.59,0.52,2,0.5
0.525,0.515,0.535,0.525,2,0.5
0.53,0.5,0.5,0.53,2,0.5
0.515,0.53,0.52,0.52,2,0.5
0.63,0.61,0.575,0.505,2,0.5
0.45,0.55,0.545,0.55,2,0.5
0.53,0.455,0.45,0.555,2,0.5
0.5,0.495,0.505,0.5,2,0.5
0.495,0.53,0.55,0.505,2,0.5
0.665,0.54,0.545,0.54,2,0.5
0.535,0.53,0.535,0.52,2,0.5
0.575,0.54,0.48,0.53,2,0.5
0.525,0.555,0.535,0.505,2,0.5
0.505,0.475,0.475,0.525,2,0.5
0.5,0.555,0.525,0.5,2,0.5
0.51,0.505,0.495,0.51,2,0.5
0.545,0.53,0.53,0.53,2,0.5
0.53,0.565,0.57,0.525,2,0.5
0.48,0.52,0.525,0.52,2,0.5
0.515,0.485,0.495,0.515,2,0.5
0.475,0.57,0.585,0.525,2,0.5
