base,extra,test,majority,num_classes,majority_all
0.19,0.335,0.29,0.24,9,0.2098955969133
0.11,0.345,0.265,0.23,9,0.2098955969133
0.215,0.31,0.315,0.25,9,0.2098955969133
0.265,0.355,0.37,0.27,9,0.2098955969133
0.22,0.305,0.285,0.235,9,0.2098955969133
0.29,0.28,0.36,0.205,9,0.2098955969133
0.3,0.34,0.335,0.23,9,0.2098955969133
0.09,0.255,0.305,0.235,9,0.2098955969133
0.36,0.295,0.39,0.235,9,0.2098955969133
0.31,0.27,0.275,0.215,9,0.2098955969133
0.255,0.265,0.335,0.195,9,0.2098955969133
0.315,0.405,0.345,0.215,9,0.2098955969133
0.155,0.255,0.29,0.225,9,0.2098955969133
0.335,0.355,0.325,0.22,9,0.2098955969133
0.24,0.235,0.21,0.25,9,0.2098955969133
0.345,0.345,0.365,0.215,9,0.2098955969133
0.31,0.295,0.265,0.255,9,0.2098955969133
0.275,0.29,0.36,0.21,9,0.2098955969133
0.25,0.325,0.375,0.24,9,0.2098955969133
0.3,0.29,0.3,0.21,9,0.2098955969133
0.315,0.31,0.335,0.24,9,0.2098955969133
0.27,0.225,0.28,0.235,9,0.2098955969133
0.255,0.305,0.325,0.245,9,0.2098955969133
0.27,0.24,0.255,0.205,9,0.2098955969133
0.23,0.295,0.365,0.195,9,0.2098955969133
0.235,0.28,0.31,0.23,9,0.2098955969133
0.355,0.355,0.255,0.205,9,0.2098955969133
0.31,0.3,0.33,0.255,9,0.2098955969133
0.27,0.29,0.29,0.225,9,0.2098955969133
0.255,0.34,0.3,0.21,9,0.2098955969133
0.3,0.25,0.305,0.24,9,0.2098955969133
0.215,0.325,0.32,0.225,9,0.2098955969133
0.315,0.31,0.335,0.21,9,0.2098955969133
0.195,0.37,0.275,0.235,9,0.2098955969133
0.205,0.37,0.315,0.22,9,0.2098955969133
0.34,0.365,0.265,0.255,9,0.2098955969133
0.215,0.31,0.195,0.225,9,0.2098955969133
0.29,0.265,0.225,0.26,9,0.2098955969133
0.35,0.32,0.33,0.22,9,0.2098955969133
0.325,0.34,0.345,0.21,9,0.2098955969133
0.31,0.245,0.215,0.29,9,0.2098955969133
0.395,0.285,0.275,0.19,9,0.2098955969133
0.24,0.34,0.27,0.265,9,0.2098955969133
0.33,0.27,0.355,0.245,9,0.2098955969133
0.33,0.26,0.275,0.265,9,0.2098955969133
0.275,0.295,0.27,0.195,9,0.2098955969133
0.27,0.345,0.37,0.21,9,0.2098955969133
0.205,0.365,0.37,0.24,9,0.2098955969133
0.25,0.26,0.265,0.235,9,0.2098955969133
0.315,0.295,0.335,0.23,9,0.2098955969133
